id_cliente,mes,reclamos,consultas,nps_promedio
CLI00051,2025-09-01,0,2,43.4
CLI00052,2024-03-01,0,0,41.5
CLI00053,2023-05-01,1,0,35.2
CLI00053,2025-04-01,1,1,-40.3
CLI00054,2025-07-01,2,0,-27.1
CLI00054,2025-08-01,1,1,-26.1
CLI00054,2025-09-01,1,1,-1.0
CLI00055,2025-05-01,2,0,32.9
CLI00055,2025-07-01,0,1,48.2
CLI00056,2025-06-01,1,1,54.9
CLI00057,2023-02-01,0,3,69.5
CLI00057,2024-12-01,0,1,-48.2
CLI00059,2024-01-01,0,1,30.4
CLI00060,2023-04-01,2,2,-4.3
CLI00060,2024-10-01,0,0,45.3
CLI00060,2025-07-01,2,2,-13.6
CLI00061,2025-03-01,0,2,37.7
CLI00062,2023-08-01,0,0,71.2
CLI00062,2025-06-01,2,2,-48.8
CLI00064,2024-02-01,0,1,49.6
CLI00064,2025-01-01,0,0,-43.7
CLI00064,2025-09-01,0,0,54.3
CLI00065,2023-07-01,2,1,-33.3
CLI00065,2023-08-01,1,0,-11.5
CLI00065,2025-03-01,1,0,59.1
CLI00065,2025-04-01,0,1,36.1
CLI00066,2023-05-01,0,0,31.3
CLI00066,2024-08-01,1,0,60.4
CLI00066,2024-10-01,0,0,66.7
CLI00066,2025-03-01,1,0,-2.2
CLI00066,2025-04-01,3,1,24.5
CLI00066,2025-06-01,2,0,39.3
CLI00067,2023-01-01,0,0,69.0
CLI00067,2024-07-01,1,0,34.0
CLI00067,2024-08-01,1,1,100.0
CLI00067,2025-04-01,0,2,-30.1
CLI00069,2023-06-01,0,0,21.8
CLI00069,2023-07-01,0,1,52.6
CLI00069,2024-01-01,0,4,53.1
CLI00069,2024-04-01,0,2,32.2
CLI00070,2023-07-01,1,0,36.0
CLI00070,2024-02-01,3,2,46.3
CLI00070,2025-10-01,0,0,62.6
CLI00073,2023-05-01,2,1,56.2
CLI00073,2023-10-01,0,0,22.0
CLI00074,2023-03-01,1,0,47.8
CLI00074,2024-12-01,0,1,51.0
CLI00074,2025-02-01,3,1,-21.3
CLI00075,2022-05-01,0,0,64.7
CLI00075,2022-09-01,0,0,48.3
CLI00075,2025-07-01,2,1,11.6
CLI00075,2025-08-01,2,1,-9.6
CLI00077,2023-08-01,0,1,-18.3
CLI00077,2023-12-01,0,0,64.2
CLI00077,2024-01-01,0,1,62.4
CLI00077,2025-04-01,0,0,33.1
CLI00078,2023-08-01,1,1,32.6
CLI00078,2025-03-01,3,1,-66.6
CLI00078,2025-11-01,1,0,83.7
CLI00079,2024-03-01,2,0,37.0
CLI00080,2025-01-01,0,0,-13.4
CLI00081,2025-03-01,1,1,-24.7
CLI00081,2025-04-01,0,0,-32.7
CLI00081,2025-05-01,2,1,-52.4
CLI00082,2023-04-01,0,0,5.1
CLI00082,2024-07-01,0,0,45.3
CLI00083,2025-01-01,1,1,41.0
CLI00083,2025-08-01,0,1,24.9
CLI00085,2024-06-01,0,2,40.9
CLI00085,2024-08-01,0,0,42.5
CLI00085,2024-09-01,0,0,54.4
CLI00085,2025-03-01,1,0,29.3
CLI00085,2025-10-01,0,0,80.4
CLI00086,2025-06-01,3,0,-29.3
CLI00086,2025-07-01,2,0,-31.2
CLI00086,2025-08-01,1,2,-12.6
CLI00087,2022-07-01,0,1,52.6
CLI00087,2023-07-01,0,1,27.9
CLI00087,2023-12-01,0,1,11.4
CLI00087,2025-03-01,0,1,75.1
CLI00087,2025-04-01,0,1,54.6
CLI00088,2024-12-01,0,1,36.4
CLI00088,2025-04-01,1,4,38.7
CLI00089,2023-04-01,0,0,61.0
CLI00089,2025-01-01,4,1,-24.3
CLI00089,2025-03-01,0,1,-42.5
CLI00089,2025-04-01,1,1,-17.2
CLI00090,2025-03-01,3,0,22.9
CLI00091,2022-08-01,0,0,60.3
CLI00091,2023-05-01,0,2,90.9
CLI00091,2023-11-01,0,2,73.0
CLI00091,2024-03-01,2,1,16.3
CLI00091,2024-06-01,1,0,33.8
CLI00091,2025-01-01,2,0,-56.6
CLI00092,2023-06-01,0,1,43.8
CLI00093,2023-08-01,2,0,15.4
CLI00093,2023-09-01,2,0,-74.7
CLI00093,2023-10-01,2,1,32.0
CLI00093,2024-03-01,0,1,38.3
CLI00093,2024-08-01,0,1,44.7
CLI00094,2025-09-01,2,0,-14.1
CLI00095,2024-06-01,0,1,-1.0
CLI00095,2024-09-01,1,2,-90.8
CLI00096,2022-07-01,0,1,-31.8
CLI00096,2022-12-01,0,2,52.8
CLI00096,2024-10-01,2,2,25.4
CLI00097,2023-12-01,3,0,-8.0
CLI00097,2024-06-01,0,1,22.6
CLI00098,2023-03-01,0,0,29.5
CLI00098,2024-07-01,0,1,65.0
CLI00098,2025-02-01,0,2,30.2
CLI00098,2025-10-01,0,0,64.8
CLI00099,2024-04-01,0,0,43.7
CLI00099,2025-05-01,0,2,-18.1
CLI00099,2025-06-01,2,2,-41.5
CLI00102,2025-02-01,1,0,46.4
CLI00102,2025-04-01,1,2,12.7
CLI00103,2024-04-01,0,0,60.8
CLI00103,2025-05-01,1,0,-36.1
CLI00103,2025-10-01,1,0,15.0
CLI00104,2024-01-01,0,1,84.8
CLI00104,2025-10-01,0,1,53.9
CLI00106,2025-04-01,2,0,-92.2
CLI00106,2025-12-01,0,1,55.5
CLI00107,2024-01-01,0,0,55.6
CLI00107,2024-03-01,0,0,-52.3
CLI00107,2024-06-01,0,0,-25.3
CLI00107,2025-10-01,0,1,25.7
CLI00108,2024-02-01,0,0,26.7
CLI00108,2024-03-01,0,0,35.3
CLI00108,2024-05-01,0,0,20.6
CLI00108,2024-06-01,0,1,67.3
CLI00108,2025-04-01,0,0,-39.5
CLI00108,2025-05-01,0,0,11.3
CLI00108,2025-06-01,0,1,50.9
CLI00108,2025-11-01,0,0,100.0
CLI00109,2023-02-01,0,1,-14.1
CLI00109,2023-03-01,0,0,35.5
CLI00110,2024-06-01,0,2,26.0
CLI00111,2024-04-01,0,1,18.1
CLI00111,2024-12-01,2,0,-7.9
CLI00111,2025-02-01,0,0,33.0
CLI00112,2023-12-01,1,0,68.1
CLI00112,2024-04-01,6,1,-28.8
CLI00112,2024-06-01,0,3,13.7
CLI00112,2024-11-01,0,1,42.6
CLI00113,2024-04-01,0,0,48.1
CLI00113,2024-05-01,2,0,-39.8
CLI00113,2024-07-01,2,1,4.4
CLI00113,2025-02-01,1,3,82.8
CLI00114,2023-10-01,0,1,58.2
CLI00114,2024-02-01,0,1,13.9
CLI00114,2024-04-01,2,1,-12.4
CLI00114,2025-02-01,0,0,-3.4
CLI00115,2023-11-01,0,0,46.9
CLI00115,2024-08-01,2,0,-47.6
CLI00115,2024-09-01,0,0,38.1
CLI00115,2024-11-01,2,1,25.3
CLI00115,2025-09-01,1,1,31.6
CLI00116,2024-02-01,2,0,-42.6
CLI00116,2024-09-01,0,1,43.7
CLI00117,2023-05-01,0,2,65.2
CLI00117,2024-05-01,0,0,31.7
CLI00117,2025-04-01,3,0,11.7
CLI00117,2025-05-01,1,0,-32.3
CLI00117,2025-08-01,0,0,55.6
CLI00118,2025-03-01,0,0,27.0
CLI00119,2024-04-01,0,0,40.7
CLI00120,2025-06-01,0,3,-13.2
CLI00121,2024-09-01,0,2,10.8
CLI00122,2024-12-01,3,0,-2.5
CLI00122,2025-02-01,3,1,-3.2
CLI00122,2025-12-01,0,0,70.9
CLI00123,2023-05-01,0,1,73.7
CLI00123,2023-12-01,0,0,-63.5
CLI00123,2024-02-01,1,0,5.6
CLI00123,2024-06-01,0,0,53.1
CLI00123,2024-12-01,0,0,100.0
CLI00123,2025-04-01,0,1,42.4
CLI00124,2023-12-01,0,0,22.2
CLI00124,2024-05-01,1,0,100.0
CLI00124,2025-01-01,1,0,-26.9
CLI00124,2025-08-01,0,1,53.5
CLI00124,2025-11-01,0,0,57.7
CLI00125,2022-11-01,0,2,44.1
CLI00125,2023-09-01,0,1,61.2
CLI00125,2025-07-01,0,0,72.8
CLI00126,2024-02-01,3,0,55.8
CLI00126,2024-04-01,1,0,40.9
CLI00126,2025-01-01,0,0,5.8
CLI00127,2023-04-01,0,1,44.5
CLI00127,2023-09-01,0,0,7.9
CLI00127,2024-09-01,2,1,-53.5
CLI00128,2023-02-01,0,0,31.2
CLI00128,2023-07-01,0,0,59.2
CLI00128,2024-02-01,0,1,-3.3
CLI00128,2024-03-01,3,0,8.2
CLI00128,2024-12-01,0,2,7.2
CLI00129,2025-04-01,0,1,24.8
CLI00130,2022-12-01,0,1,15.1
CLI00130,2023-10-01,1,1,57.5
CLI00131,2023-01-01,1,0,69.8
CLI00131,2024-11-01,0,0,70.0
CLI00131,2025-01-01,0,1,57.3
CLI00133,2024-05-01,4,3,6.6
CLI00134,2024-03-01,1,1,17.1
CLI00135,2024-04-01,0,0,83.8
CLI00135,2024-06-01,1,0,-18.0
CLI00135,2025-08-01,0,0,73.3
CLI00136,2025-05-01,1,2,-47.5
CLI00136,2025-08-01,2,2,-58.5
CLI00137,2023-12-01,1,0,93.7
CLI00137,2024-09-01,1,2,81.0
CLI00137,2024-10-01,0,0,4.5
CLI00137,2025-05-01,1,1,53.9
CLI00138,2024-04-01,0,0,91.2
CLI00138,2024-05-01,0,0,36.3
CLI00138,2025-04-01,2,1,11.8
CLI00138,2025-06-01,2,0,2.6
CLI00139,2024-09-01,2,0,82.2
CLI00139,2025-06-01,0,0,50.1
CLI00139,2025-12-01,0,0,45.8
CLI00140,2024-12-01,1,1,14.0
CLI00140,2025-04-01,0,0,51.6
CLI00141,2023-12-01,1,0,43.8
CLI00141,2024-03-01,1,2,31.0
CLI00141,2025-06-01,2,1,-26.8
CLI00141,2025-07-01,2,1,-14.1
CLI00142,2024-07-01,2,3,-9.8
CLI00142,2025-03-01,0,1,56.5
CLI00142,2025-09-01,0,1,82.2
CLI00142,2025-12-01,0,0,4.9
CLI00143,2023-04-01,0,2,52.1
CLI00143,2023-09-01,0,2,41.4
CLI00143,2025-03-01,2,3,62.3
CLI00144,2025-01-01,0,1,71.8
CLI00145,2025-04-01,1,0,43.2
CLI00146,2024-06-01,0,1,88.4
CLI00146,2024-11-01,0,1,74.8
CLI00147,2024-02-01,0,1,42.5
CLI00149,2025-07-01,1,4,0.5
CLI00149,2025-12-01,0,0,48.4
CLI00150,2023-12-01,0,0,79.6
CLI00150,2024-01-01,0,0,63.6
CLI00150,2024-03-01,0,1,-31.6
CLI00150,2024-12-01,1,0,4.3
CLI00150,2025-02-01,4,0,9.5
CLI00151,2023-09-01,0,0,44.1
CLI00151,2024-04-01,1,2,-42.0
CLI00152,2025-01-01,0,0,20.5
CLI00152,2025-04-01,0,1,47.9
CLI00153,2022-11-01,2,2,31.5
CLI00154,2023-02-01,0,0,72.1
CLI00154,2023-05-01,0,2,39.8
CLI00154,2025-03-01,1,0,38.4
CLI00154,2025-04-01,0,1,34.9
CLI00155,2024-03-01,0,0,89.0
CLI00155,2025-03-01,5,2,-8.5
CLI00155,2025-07-01,0,2,41.6
CLI00155,2025-10-01,0,0,65.9
CLI00156,2024-03-01,0,1,40.7
CLI00156,2025-02-01,1,1,-54.8
CLI00157,2024-04-01,0,0,34.0
CLI00158,2024-11-01,0,1,56.1
CLI00158,2025-02-01,1,2,8.1
CLI00158,2025-03-01,0,0,-27.2
CLI00159,2025-07-01,0,2,-19.0
CLI00159,2025-08-01,1,0,-54.4
CLI00160,2023-03-01,1,1,36.5
CLI00160,2025-03-01,0,0,27.0
CLI00160,2025-10-01,0,1,29.9
CLI00161,2023-08-01,2,0,58.6
CLI00161,2025-04-01,0,0,-0.4
CLI00161,2025-07-01,3,1,-10.5
CLI00162,2024-07-01,0,0,19.4
CLI00162,2025-06-01,0,1,-8.1
CLI00163,2022-12-01,1,0,78.7
CLI00163,2024-01-01,0,3,50.1
CLI00163,2024-03-01,2,0,11.4
CLI00164,2024-08-01,1,2,73.3
CLI00164,2024-09-01,0,1,6.2
CLI00164,2024-10-01,1,1,43.7
CLI00164,2025-06-01,1,2,-29.0
CLI00165,2024-12-01,3,1,-28.3
CLI00166,2023-12-01,0,2,7.5
CLI00166,2025-01-01,3,0,10.5
CLI00167,2023-06-01,0,1,56.3
CLI00167,2023-10-01,0,0,72.1
CLI00167,2025-01-01,4,0,15.5
CLI00167,2025-03-01,2,0,-10.5
CLI00168,2023-03-01,0,1,45.1
CLI00168,2024-10-01,2,0,-66.5
CLI00169,2023-05-01,0,0,100.0
CLI00169,2023-07-01,0,1,37.8
CLI00169,2023-08-01,0,0,26.3
CLI00169,2024-02-01,0,0,12.3
CLI00169,2024-03-01,1,0,-24.8
CLI00171,2023-11-01,0,0,59.2
CLI00171,2025-01-01,2,2,-6.0
CLI00171,2025-02-01,3,0,-53.3
CLI00171,2025-12-01,0,0,51.7
CLI00172,2023-06-01,1,3,36.6
CLI00172,2025-04-01,0,2,11.4
CLI00172,2025-11-01,0,1,18.4
CLI00173,2024-02-01,1,3,27.7
CLI00173,2024-05-01,1,0,68.0
CLI00174,2024-08-01,3,1,8.6
CLI00174,2024-09-01,2,1,-49.7
CLI00174,2024-10-01,2,1,-25.6
CLI00174,2025-06-01,0,1,33.1
CLI00175,2024-08-01,2,2,-26.2
CLI00175,2025-03-01,0,0,60.0
CLI00177,2025-03-01,0,1,52.9
CLI00177,2025-08-01,4,1,-4.2
CLI00178,2025-02-01,2,0,-13.9
CLI00178,2025-05-01,3,0,0.9
CLI00179,2025-05-01,2,1,64.4
CLI00180,2023-01-01,2,0,21.0
CLI00180,2023-04-01,0,0,39.7
CLI00180,2023-06-01,0,1,14.8
CLI00180,2024-04-01,0,0,33.3
CLI00180,2024-09-01,0,0,25.1
CLI00181,2025-10-01,0,3,53.7
CLI00182,2025-02-01,2,2,-15.9
CLI00183,2025-08-01,2,1,17.2
CLI00184,2022-09-01,0,2,40.9
CLI00184,2023-07-01,0,1,21.4
CLI00184,2023-12-01,0,3,-32.2
CLI00184,2025-01-01,0,0,60.4
CLI00184,2025-05-01,0,1,39.6
CLI00185,2024-03-01,0,1,72.8
CLI00186,2023-09-01,0,2,100.0
CLI00186,2024-02-01,0,1,44.2
CLI00186,2025-06-01,2,1,16.2
CLI00187,2024-02-01,0,1,68.0
CLI00187,2024-05-01,1,0,81.4
CLI00187,2024-09-01,1,0,36.0
CLI00188,2024-03-01,0,1,74.8
CLI00188,2024-06-01,0,0,75.0
CLI00188,2024-10-01,2,0,19.3
CLI00188,2025-01-01,2,2,-49.8
CLI00189,2024-09-01,1,0,42.1
CLI00189,2024-10-01,1,0,96.4
CLI00189,2025-07-01,0,0,-53.4
CLI00189,2025-12-01,0,0,35.7
CLI00190,2023-02-01,1,1,47.4
CLI00190,2024-01-01,1,2,-27.3
CLI00190,2024-02-01,2,3,34.6
CLI00191,2025-03-01,8,4,-19.9
CLI00192,2024-11-01,1,2,10.5
CLI00192,2024-12-01,1,1,-88.2
CLI00192,2025-02-01,2,0,-48.9
CLI00192,2025-06-01,0,0,36.8
CLI00192,2025-09-01,1,1,50.8
CLI00193,2024-11-01,0,0,30.4
CLI00193,2025-05-01,0,3,-0.4
CLI00193,2025-08-01,0,0,-14.4
CLI00194,2023-09-01,0,0,44.9
CLI00194,2024-12-01,1,1,69.0
CLI00194,2025-05-01,1,1,3.2
CLI00194,2025-06-01,1,2,-50.9
CLI00194,2025-11-01,0,1,74.0
CLI00195,2023-03-01,0,2,73.3
CLI00195,2024-05-01,0,0,55.5
CLI00195,2025-01-01,0,0,15.9
CLI00196,2022-10-01,1,1,31.9
CLI00196,2024-01-01,0,0,81.6
CLI00196,2024-04-01,0,0,11.3
CLI00197,2025-10-01,0,0,45.0
CLI00198,2023-03-01,0,0,4.0
CLI00198,2025-02-01,1,0,-12.5
CLI00198,2025-07-01,0,0,53.1
CLI00199,2024-10-01,1,0,4.0
CLI00199,2025-04-01,4,1,36.6
CLI00199,2025-06-01,4,0,-27.2
CLI00200,2024-01-01,0,0,80.7
CLI00200,2024-11-01,2,2,-32.1
CLI00200,2025-12-01,1,0,67.6
CLI00201,2025-06-01,0,1,-21.8
CLI00201,2025-08-01,2,1,22.3
CLI00202,2024-09-01,0,2,-12.1
CLI00202,2025-06-01,1,1,33.5
CLI00202,2025-09-01,0,0,19.8
CLI00203,2023-11-01,3,1,39.8
CLI00203,2023-12-01,1,2,-14.2
CLI00203,2024-04-01,0,1,70.2
CLI00204,2023-03-01,0,1,-100.0
CLI00204,2023-05-01,3,0,-52.7
CLI00204,2025-10-01,0,0,77.4
CLI00205,2023-01-01,0,0,27.0
CLI00206,2024-01-01,1,2,1.6
CLI00206,2024-05-01,0,0,12.4
CLI00207,2024-06-01,0,1,28.5
CLI00208,2025-05-01,0,1,38.7
CLI00208,2025-08-01,5,0,-41.1
CLI00209,2023-04-01,0,1,56.6
CLI00209,2024-10-01,1,0,50.4
CLI00210,2022-11-01,1,0,48.2
CLI00210,2023-12-01,1,0,13.3
CLI00210,2024-12-01,0,0,2.9
CLI00210,2025-02-01,0,1,-5.5
CLI00211,2022-06-01,0,1,47.5
CLI00211,2023-07-01,0,0,-5.5
CLI00211,2023-11-01,0,0,25.9
CLI00212,2024-02-01,0,0,-4.2
CLI00212,2024-03-01,0,0,61.8
CLI00212,2024-04-01,3,2,7.2
CLI00212,2024-12-01,0,0,42.9
CLI00212,2025-06-01,1,0,47.7
CLI00212,2025-12-01,0,0,64.5
CLI00213,2024-06-01,0,1,49.7
CLI00213,2025-05-01,1,1,-26.8
CLI00213,2025-06-01,2,0,-48.6
CLI00214,2023-04-01,1,0,48.3
CLI00214,2025-06-01,1,1,8.6
CLI00214,2025-07-01,2,2,-25.9
CLI00215,2023-04-01,1,1,46.3
CLI00215,2024-06-01,0,0,100.0
CLI00215,2025-08-01,1,2,24.9
CLI00216,2024-07-01,0,0,51.0
CLI00216,2025-01-01,0,1,-5.2
CLI00216,2025-03-01,1,0,12.1
CLI00217,2025-03-01,0,1,7.5
CLI00217,2025-09-01,0,1,12.0
CLI00217,2025-11-01,0,3,35.3
CLI00218,2025-02-01,0,2,5.4
CLI00219,2023-08-01,0,1,5.9
CLI00219,2024-04-01,1,0,44.0
CLI00219,2025-01-01,0,1,38.9
CLI00219,2025-04-01,0,1,-59.4
CLI00219,2025-06-01,1,0,-38.2
CLI00220,2025-03-01,0,0,21.3
CLI00220,2025-06-01,2,0,-62.9
CLI00220,2025-07-01,1,1,39.0
CLI00221,2025-05-01,1,1,-41.2
CLI00221,2025-09-01,0,2,63.1
CLI00222,2023-06-01,0,0,2.7
CLI00222,2023-08-01,0,0,63.6
CLI00223,2022-04-01,1,1,-1.0
CLI00223,2024-07-01,0,2,83.2
CLI00223,2025-05-01,0,0,13.1
CLI00223,2025-10-01,0,2,22.4
CLI00224,2023-07-01,1,1,60.1
CLI00224,2025-01-01,2,1,-12.5
CLI00224,2025-02-01,1,2,-6.4
CLI00224,2025-03-01,2,2,-15.9
CLI00225,2023-10-01,0,0,33.8
CLI00225,2024-02-01,0,0,8.6
CLI00225,2024-11-01,0,0,100.0
CLI00225,2025-11-01,1,0,38.8
CLI00226,2023-06-01,0,0,21.4
CLI00226,2024-04-01,2,2,12.4
CLI00226,2024-06-01,1,0,-80.4
CLI00227,2023-10-01,1,1,32.6
CLI00227,2024-07-01,2,2,-5.2
CLI00228,2025-09-01,0,1,73.2
CLI00230,2025-04-01,2,3,9.0
CLI00231,2024-11-01,1,2,25.8
CLI00231,2024-12-01,3,1,-29.1
CLI00231,2025-01-01,0,0,-40.5
CLI00232,2025-01-01,3,2,68.1
CLI00232,2025-02-01,1,2,5.6
CLI00232,2025-03-01,1,0,-49.7
CLI00232,2025-10-01,0,1,73.1
CLI00233,2023-06-01,1,0,97.8
CLI00233,2025-06-01,1,1,-53.3
CLI00234,2024-10-01,0,2,57.9
CLI00234,2025-05-01,1,0,-1.7
CLI00234,2025-07-01,1,1,-56.5
CLI00235,2024-11-01,0,1,83.4
CLI00236,2023-10-01,0,2,52.3
CLI00236,2024-12-01,2,0,-40.3
CLI00236,2025-01-01,4,1,31.5
CLI00236,2025-02-01,1,1,14.9
CLI00236,2025-04-01,1,1,57.6
CLI00236,2025-11-01,0,1,72.6
CLI00237,2025-06-01,2,4,-40.5
CLI00238,2025-01-01,2,0,-4.3
CLI00238,2025-02-01,1,0,-100.0
CLI00239,2022-10-01,2,0,61.2
CLI00239,2024-06-01,1,1,49.1
CLI00239,2025-06-01,3,1,-8.1
CLI00240,2024-11-01,1,0,-5.3
CLI00241,2024-11-01,1,1,-17.0
CLI00241,2025-01-01,3,1,21.2
CLI00242,2025-08-01,0,1,28.1
CLI00243,2024-04-01,2,0,67.2
CLI00243,2024-10-01,3,3,-13.8
CLI00243,2025-04-01,0,1,53.5
CLI00244,2025-02-01,0,0,94.6
CLI00245,2025-04-01,3,2,8.6
CLI00245,2025-05-01,3,0,46.2
CLI00245,2025-06-01,2,0,-55.9
CLI00246,2024-01-01,0,0,-36.4
CLI00246,2024-03-01,0,0,55.5
CLI00247,2024-04-01,0,0,9.9
CLI00247,2024-10-01,1,0,-42.3
CLI00247,2025-01-01,2,4,-19.3
CLI00247,2025-03-01,0,0,49.6
CLI00248,2023-10-01,0,0,31.5
CLI00249,2025-03-01,0,0,22.2
CLI00250,2024-02-01,3,0,-32.5
CLI00250,2024-10-01,1,1,25.7
CLI00250,2025-03-01,0,0,31.0
CLI00250,2025-04-01,0,0,47.4
CLI00251,2023-11-01,0,0,52.5
CLI00251,2025-03-01,0,0,-55.4
CLI00251,2025-05-01,3,1,-64.7
CLI00251,2025-09-01,1,0,-8.9
CLI00252,2023-02-01,1,0,51.6
CLI00252,2023-06-01,0,1,-12.1
CLI00252,2023-12-01,0,1,64.8
CLI00252,2024-08-01,2,3,-28.6
CLI00253,2025-06-01,0,1,-36.4
CLI00253,2025-07-01,0,1,-0.4
CLI00254,2025-07-01,2,1,3.5
CLI00255,2025-01-01,0,0,71.4
CLI00256,2025-04-01,0,1,-37.6
CLI00256,2025-05-01,3,4,-43.0
CLI00257,2024-05-01,0,0,46.9
CLI00257,2024-09-01,0,0,13.7
CLI00257,2024-11-01,3,0,-8.2
CLI00258,2024-12-01,0,1,39.8
CLI00258,2025-03-01,1,0,-22.2
CLI00258,2025-04-01,1,1,-45.4
CLI00258,2025-08-01,2,0,20.3
CLI00259,2024-04-01,0,1,47.5
CLI00259,2024-07-01,0,1,18.0
CLI00259,2025-03-01,0,0,34.2
CLI00259,2025-06-01,2,1,-19.0
CLI00259,2025-07-01,3,4,-65.2
CLI00261,2024-04-01,0,0,-57.4
CLI00261,2024-05-01,3,1,-7.9
CLI00261,2024-07-01,3,0,-22.2
CLI00262,2024-03-01,0,2,4.4
CLI00262,2024-05-01,2,0,17.0
CLI00263,2023-07-01,0,1,76.9
CLI00263,2024-10-01,1,1,-39.6
CLI00263,2025-01-01,1,1,-18.3
CLI00263,2025-05-01,0,0,-9.9
CLI00264,2025-08-01,1,0,86.2
