id_baja,id_cliente,fecha_solicitud,canal_solicitud,motivo
BAJA00106,CLI05101,2025-08-23,Email,No especifica
BAJA00107,CLI01057,2025-12-23,Formulario web,Ya no es cliente
BAJA00108,CLI05326,2025-09-09,WhatsApp,No especifica
BAJA00109,CLI04156,2024-05-29,Tienda,Pidio no ser contactado en tienda
BAJA00110,CLI04871,2026-08-04,Email,No especifica
BAJA00111,CLI02411,2026-02-10,Tienda,Exceso de comunicaciones
BAJA00112,CLI01386,2025-08-06,Formulario web,No especifica
BAJA00113,CLI02585,2025-07-01,Formulario web,Pidio no ser contactado en tienda
BAJA00114,CLI03085,2026-07-30,Email,Exceso de comunicaciones
BAJA00115,CLI05005,2023-12-02,Tienda,Exceso de comunicaciones
BAJA00116,CLI04836,2026-07-31,SMS,Exceso de comunicaciones
BAJA00117,CLI04032,2025-06-28,Email,No especifica
BAJA00118,CLI02455,2023-11-29,Email,Exceso de comunicaciones
BAJA00119,CLI02549,2026-05-11,Email,No especifica
BAJA00120,CLI05121,2024-08-22,Formulario web,Ya no es cliente
BAJA00121,CLI01171,2026-04-06,Tienda,Ya no es cliente
BAJA00122,CLI02185,2025-10-31,Email,Pidio no ser contactado en tienda
BAJA00123,CLI00461,2025-11-01,SMS,No especifica
BAJA00124,CLI00738,2026-06-29,SMS,Exceso de comunicaciones
BAJA00125,CLI01297,2026-02-20,Email,Pidio no ser contactado en tienda
BAJA00126,CLI05597,2025-03-17,Email,No especifica
BAJA00127,CLI02272,2025-05-28,Tienda,Ya no es cliente
BAJA00128,CLI02705,2026-06-20,Email,Ya no es cliente
BAJA00129,CLI04980,2025-10-22,Email,Ya no es cliente
BAJA00130,CLI02393,2026-08-20,Email,No especifica
BAJA00131,CLI01091,2026-06-30,Tienda,Pidio no ser contactado en tienda
BAJA00132,CLI00096,2025-06-17,SMS,Exceso de comunicaciones
BAJA00133,CLI05886,2026-05-17,Formulario web,Ya no es cliente
BAJA00134,CLI05403,2023-07-15,Email,Ya no es cliente
BAJA00135,CLI00709,2024-12-24,WhatsApp,No especifica
BAJA00136,CLI00420,2025-08-30,SMS,No especifica
BAJA00137,CLI03789,2026-07-06,Email,Pidio no ser contactado en tienda
BAJA00138,CLI00145,2025-02-04,Formulario web,Exceso de comunicaciones
BAJA00139,CLI05714,2024-07-10,Tienda,No especifica
BAJA00140,CLI03339,2024-07-12,Email,No especifica
BAJA00141,CLI00585,2026-06-26,Email,Exceso de comunicaciones
BAJA00142,CLI01306,2025-05-16,SMS,Exceso de comunicaciones
BAJA00143,CLI03338,2026-06-05,SMS,Exceso de comunicaciones
BAJA00144,CLI01257,2025-11-05,SMS,Exceso de comunicaciones
BAJA00145,CLI00498,2025-04-27,Email,No especifica
BAJA00146,CLI03835,2026-07-08,WhatsApp,Exceso de comunicaciones
BAJA00147,CLI02370,2022-07-22,Email,No especifica
BAJA00148,CLI00105,2025-12-28,Tienda,Ya no es cliente
BAJA00149,CLI01273,2026-06-23,Tienda,Ya no es cliente
BAJA00150,CLI02506,2023-10-06,Tienda,Ya no es cliente
BAJA00151,CLI00720,2026-07-13,SMS,Exceso de comunicaciones
BAJA00152,CLI04990,2025-02-04,Tienda,Exceso de comunicaciones
BAJA00153,CLI02073,2025-06-04,WhatsApp,Pidio no ser contactado en tienda
BAJA00154,CLI00505,2026-06-18,Tienda,Pidio no ser contactado en tienda
BAJA00155,CLI00514,2026-03-04,Tienda,Exceso de comunicaciones
BAJA00156,CLI02097,2025-07-30,WhatsApp,No especifica
BAJA00157,CLI02501,2025-05-27,Email,No especifica
BAJA00158,CLI03209,2026-04-08,SMS,No especifica
BAJA00159,CLI02742,2024-07-12,Formulario web,Exceso de comunicaciones
BAJA00160,CLI00113,2025-12-02,Tienda,No especifica
BAJA00161,CLI02995,2025-12-10,Tienda,Ya no es cliente
BAJA00162,CLI00765,2024-09-17,Tienda,Exceso de comunicaciones
BAJA00163,CLI03373,2024-09-27,WhatsApp,Pidio no ser contactado en tienda
BAJA00164,CLI02356,2022-10-13,Email,No especifica
BAJA00165,CLI02329,2025-03-10,SMS,Pidio no ser contactado en tienda
BAJA00166,CLI03713,2025-11-20,Email,Exceso de comunicaciones
BAJA00167,CLI05162,2026-06-12,Email,Exceso de comunicaciones
BAJA00168,CLI00242,2026-07-27,SMS,Reclamo previo
BAJA00169,CLI02948,2026-03-07,Email,No especifica
BAJA00170,CLI05011,2025-09-16,Tienda,Pidio no ser contactado en tienda
BAJA00171,CLI04581,2025-11-18,Tienda,Exceso de comunicaciones
BAJA00172,CLI01503,2023-06-18,WhatsApp,Ya no es cliente
BAJA00173,CLI02196,2026-07-12,SMS,Exceso de comunicaciones
BAJA00174,CLI01200,2025-07-26,Email,Pidio no ser contactado en tienda
BAJA00175,CLI01481,2025-08-22,Email,No especifica
BAJA00176,CLI01486,2025-08-09,WhatsApp,No especifica
BAJA00177,CLI02443,2024-11-05,WhatsApp,Exceso de comunicaciones
BAJA00178,CLI01785,2024-06-21,Email,No especifica
BAJA00179,CLI01791,2025-05-22,WhatsApp,Ya no es cliente
BAJA00180,CLI04378,2025-11-07,Email,Exceso de comunicaciones
BAJA00181,CLI04321,2026-01-08,Tienda,No especifica
BAJA00182,CLI02604,2025-07-31,WhatsApp,No especifica
BAJA00183,CLI02040,2024-06-21,Tienda,Ya no es cliente
BAJA00184,CLI03430,2026-05-18,Tienda,Exceso de comunicaciones
BAJA00185,CLI02213,2024-08-04,Tienda,Ya no es cliente
BAJA00186,CLI01381,2026-07-29,Email,Ya no es cliente
BAJA00187,CLI02754,2025-03-30,Formulario web,No especifica
BAJA00188,CLI01981,2024-12-24,Formulario web,Ya no es cliente
BAJA00189,CLI00007,2026-06-23,Email,Reclamo previo
BAJA00190,CLI02177,2025-10-20,Tienda,Ya no es cliente
BAJA00191,CLI02088,2023-01-11,Email,No especifica
BAJA00192,CLI04638,2023-09-22,Email,No especifica
BAJA00193,CLI05380,2024-12-19,Email,Exceso de comunicaciones
BAJA00194,CLI01311,2025-04-25,Email,Pidio no ser contactado en tienda
BAJA00195,CLI05295,2024-11-14,Tienda,Exceso de comunicaciones
BAJA00196,CLI01380,2026-03-03,Formulario web,Ya no es cliente
BAJA00197,CLI03413,2025-07-11,Email,Pidio no ser contactado en tienda
BAJA00198,CLI04101,2026-05-29,WhatsApp,No especifica
BAJA00199,CLI02851,2026-06-06,Email,No especifica
BAJA00200,CLI05178,2025-07-16,Email,Exceso de comunicaciones
BAJA00201,CLI05772,2023-11-07,Formulario web,No especifica
BAJA00202,CLI00634,2026-04-04,Email,Ya no es cliente
BAJA00203,CLI04122,2026-05-20,SMS,Exceso de comunicaciones
BAJA00204,CLI01215,2025-08-05,Tienda,Pidio no ser contactado en tienda
BAJA00205,CLI02977,2025-02-18,Email,No especifica
BAJA00206,CLI01153,2024-05-19,WhatsApp,No especifica
BAJA00207,CLI03466,2025-09-17,Email,Reclamo previo
BAJA00208,CLI04965,2026-03-14,Email,Ya no es cliente
BAJA00209,CLI00553,2024-09-28,WhatsApp,Pidio no ser contactado en tienda
BAJA00210,CLI02171,2025-04-01,Tienda,Exceso de comunicaciones
BAJA00211,CLI03329,2026-01-30,WhatsApp,No especifica
BAJA00212,CLI01665,2024-02-08,Email,Exceso de comunicaciones
BAJA00213,CLI01873,2024-08-16,Tienda,No especifica
BAJA00214,CLI02584,2025-10-20,Tienda,Exceso de comunicaciones
BAJA00215,CLI02119,2025-12-20,WhatsApp,Exceso de comunicaciones
BAJA00216,CLI03773,2025-09-08,Formulario web,Exceso de comunicaciones
BAJA00217,CLI04108,2026-07-29,Email,Reclamo previo
BAJA00218,CLI04489,2025-07-31,Email,No especifica
BAJA00219,CLI00386,2025-02-07,SMS,Ya no es cliente
BAJA00220,CLI00329,2025-01-13,WhatsApp,Pidio no ser contactado en tienda
BAJA00221,CLI02904,2025-11-08,Formulario web,No especifica
BAJA00222,CLI03164,2025-04-10,Tienda,Reclamo previo
BAJA00223,CLI02583,2024-05-21,WhatsApp,Exceso de comunicaciones
BAJA00224,CLI00212,2024-07-08,Email,Ya no es cliente
BAJA00225,CLI01305,2026-01-13,Tienda,No especifica
BAJA00226,CLI04826,2022-08-17,Tienda,No especifica
BAJA00227,CLI03072,2025-01-25,Email,Pidio no ser contactado en tienda
BAJA00228,CLI01936,2025-03-06,Email,Exceso de comunicaciones
BAJA00229,CLI02286,2024-09-03,Tienda,Exceso de comunicaciones
BAJA00230,CLI05290,2026-02-18,Email,No especifica
BAJA00231,CLI00400,2026-06-09,SMS,Reclamo previo
BAJA00232,CLI03987,2025-08-08,Email,No especifica
BAJA00233,CLI04565,2025-04-11,Tienda,Pidio no ser contactado en tienda
BAJA00234,CLI03364,2026-01-08,Email,No especifica
BAJA00235,CLI01473,2025-11-13,SMS,Exceso de comunicaciones
BAJA00236,CLI00704,2024-09-20,Formulario web,Pidio no ser contactado en tienda
BAJA00237,CLI04482,2024-11-03,Email,No especifica
BAJA00238,CLI05199,2023-08-15,SMS,Pidio no ser contactado en tienda
BAJA00239,CLI00712,2026-01-30,Email,No especifica
BAJA00240,CLI00460,2024-06-02,SMS,No especifica
BAJA00241,CLI04465,2026-02-10,Tienda,Pidio no ser contactado en tienda
BAJA00242,CLI03141,2026-01-11,Formulario web,Reclamo previo
BAJA00243,CLI01574,2025-12-25,Email,Exceso de comunicaciones
BAJA00244,CLI02203,2024-04-16,Email,Exceso de comunicaciones
BAJA00245,CLI02399,2026-08-16,Email,No especifica
BAJA00246,CLI02610,2023-04-26,Formulario web,No especifica
BAJA00247,CLI05327,2025-02-06,Email,Pidio no ser contactado en tienda
BAJA00248,CLI04545,2025-10-08,Email,Ya no es cliente
BAJA00249,CLI05347,2026-04-06,WhatsApp,Exceso de comunicaciones
BAJA00250,CLI03922,2026-01-12,Formulario web,Reclamo previo
BAJA00251,CLI00769,2026-01-27,Formulario web,Pidio no ser contactado en tienda
BAJA00252,CLI02903,2025-11-05,WhatsApp,Reclamo previo
BAJA00253,CLI06013,2025-12-23,SMS,Reclamo previo
BAJA00254,CLI05678,2023-10-08,Tienda,Reclamo previo
BAJA00255,CLI02739,2026-07-25,Tienda,Exceso de comunicaciones
BAJA00256,CLI04071,2024-09-25,Email,Exceso de comunicaciones
BAJA00257,CLI03325,2025-12-24,WhatsApp,Exceso de comunicaciones
BAJA00258,CLI03084,2026-05-14,Email,Reclamo previo
BAJA00259,CLI05450,2026-01-09,Formulario web,Exceso de comunicaciones
BAJA00260,CLI05096,2025-01-27,WhatsApp,No especifica
BAJA00261,CLI04702,2025-07-14,Tienda,Reclamo previo
BAJA00262,CLI00782,2025-12-15,Email,Reclamo previo
BAJA00263,CLI05226,2025-07-20,SMS,Ya no es cliente
BAJA00264,CLI00154,2024-11-29,Tienda,No especifica
BAJA00265,CLI05711,2023-11-01,Email,No especifica
BAJA00266,CLI05344,2024-05-11,WhatsApp,Exceso de comunicaciones
BAJA00267,CLI03601,2026-07-10,Tienda,Pidio no ser contactado en tienda
BAJA00268,CLI04778,2024-11-22,SMS,Ya no es cliente
BAJA00269,CLI02755,2025-05-01,Email,Reclamo previo
BAJA00270,CLI02058,2025-03-29,Email,Ya no es cliente
BAJA00271,CLI02231,2025-05-05,Email,Pidio no ser contactado en tienda
BAJA00272,CLI02759,2026-01-19,Tienda,No especifica
BAJA00273,CLI02450,2024-12-28,Email,Exceso de comunicaciones
BAJA00274,CLI04058,2025-03-05,Tienda,Ya no es cliente
BAJA00275,CLI05469,2025-10-25,WhatsApp,No especifica
BAJA00276,CLI03548,2025-06-12,Tienda,Pidio no ser contactado en tienda
BAJA00277,CLI00511,2025-05-27,Tienda,Exceso de comunicaciones
BAJA00278,CLI01105,2025-05-27,Email,Pidio no ser contactado en tienda
BAJA00279,CLI01081,2024-11-25,Tienda,Ya no es cliente
BAJA00280,CLI05071,2023-04-15,Formulario web,Exceso de comunicaciones
BAJA00281,CLI04382,2026-07-08,SMS,Ya no es cliente
BAJA00282,CLI01674,2026-06-23,WhatsApp,Ya no es cliente
BAJA00283,CLI05548,2025-03-25,SMS,No especifica
BAJA00284,CLI04492,2025-12-12,Tienda,No especifica
BAJA00285,CLI00707,2026-02-18,Formulario web,No especifica
BAJA00286,CLI00063,2026-02-27,Email,Ya no es cliente
BAJA00287,CLI00326,2025-11-05,Tienda,Ya no es cliente
BAJA00288,CLI05243,2026-08-16,SMS,Pidio no ser contactado en tienda
BAJA00289,CLI00748,2025-05-10,Tienda,Ya no es cliente
BAJA00290,CLI00271,2024-05-26,SMS,Pidio no ser contactado en tienda
BAJA00291,CLI02001,2026-01-16,Formulario web,Exceso de comunicaciones
BAJA00292,CLI03860,2025-04-26,Email,Exceso de comunicaciones
BAJA00293,CLI03349,2025-02-04,Email,Reclamo previo
BAJA00294,CLI03317,2025-10-02,Tienda,Reclamo previo
BAJA00295,CLI03180,2026-01-07,Tienda,Exceso de comunicaciones
BAJA00296,CLI03785,2025-10-12,SMS,Ya no es cliente
BAJA00297,CLI04475,2026-06-17,Tienda,Exceso de comunicaciones
BAJA00298,CLI04345,2026-07-16,Email,Reclamo previo
BAJA00299,CLI02920,2022-10-30,SMS,Exceso de comunicaciones
BAJA00300,CLI03304,2026-07-16,WhatsApp,Pidio no ser contactado en tienda
BAJA00301,CLI01280,2024-09-19,WhatsApp,Exceso de comunicaciones
BAJA00302,CLI05872,2023-09-06,SMS,No especifica
BAJA00303,CLI04256,2025-07-05,Email,Exceso de comunicaciones
BAJA00304,CLI05734,2023-05-19,Tienda,Pidio no ser contactado en tienda
BAJA00305,CLI05143,2026-01-22,Tienda,Ya no es cliente
BAJA00306,CLI05008,2025-09-16,SMS,Exceso de comunicaciones
BAJA00307,CLI00470,2026-05-11,Email,Exceso de comunicaciones
BAJA00308,CLI00288,2025-11-06,Email,Pidio no ser contactado en tienda
BAJA00309,CLI02314,2023-09-20,Email,No especifica
BAJA00310,CLI04813,2023-12-14,Email,No especifica
BAJA00311,CLI01456,2023-11-26,Email,Exceso de comunicaciones
BAJA00312,CLI05842,2024-04-07,Tienda,Ya no es cliente
BAJA00313,CLI02407,2026-07-13,Email,Reclamo previo
BAJA00314,CLI03666,2026-02-27,Email,Exceso de comunicaciones
BAJA00315,CLI05693,2025-03-12,Tienda,Pidio no ser contactado en tienda
BAJA00316,CLI01441,2026-05-26,WhatsApp,Ya no es cliente
BAJA00317,CLI02878,2025-09-23,Email,Exceso de comunicaciones
BAJA00318,CLI01903,2026-04-20,Email,Reclamo previo
BAJA00319,CLI01223,2024-06-12,Email,Exceso de comunicaciones
BAJA00320,CLI05692,2024-03-28,Email,Exceso de comunicaciones
BAJA00321,CLI02254,2025-08-21,SMS,Exceso de comunicaciones
BAJA00322,CLI04678,2025-04-16,WhatsApp,Exceso de comunicaciones
BAJA00323,CLI01395,2026-07-05,Tienda,Exceso de comunicaciones
BAJA00324,CLI03888,2025-05-29,WhatsApp,Pidio no ser contactado en tienda
BAJA00325,CLI05614,2024-10-24,Email,Exceso de comunicaciones
BAJA00326,CLI00173,2026-04-06,Formulario web,Exceso de comunicaciones
BAJA00327,CLI00494,2026-05-07,SMS,No especifica
BAJA00328,CLI01525,2026-02-03,Email,Pidio no ser contactado en tienda
BAJA00329,CLI00156,2025-10-27,Formulario web,Pidio no ser contactado en tienda
BAJA00330,CLI04352,2026-06-04,Tienda,No especifica
BAJA00331,CLI04052,2026-05-14,WhatsApp,Exceso de comunicaciones
BAJA00332,CLI00877,2024-12-02,Formulario web,No especifica
BAJA00333,CLI00340,2026-06-19,Tienda,Reclamo previo
BAJA00334,CLI01963,2025-09-19,Tienda,Reclamo previo
BAJA00335,CLI02852,2026-04-08,Tienda,No especifica
BAJA00336,CLI01937,2024-04-14,Tienda,Exceso de comunicaciones
BAJA00337,CLI05973,2024-08-23,Tienda,No especifica
BAJA00338,CLI03229,2026-07-30,Tienda,Ya no es cliente
BAJA00339,CLI00496,2025-04-29,Formulario web,No especifica
BAJA00340,CLI05184,2025-03-05,Tienda,Pidio no ser contactado en tienda
BAJA00341,CLI00462,2026-04-20,Email,Reclamo previo
BAJA00342,CLI05037,2025-06-12,Email,Exceso de comunicaciones
BAJA00343,CLI01279,2026-02-04,Email,Exceso de comunicaciones
BAJA00344,CLI04579,2023-10-23,Email,Exceso de comunicaciones
BAJA00345,CLI05353,2026-01-31,SMS,Reclamo previo
BAJA00346,CLI05640,2023-12-05,SMS,Exceso de comunicaciones
BAJA00347,CLI05580,2026-04-04,Tienda,Reclamo previo
BAJA00348,CLI00840,2024-08-21,WhatsApp,Exceso de comunicaciones
BAJA00349,CLI00901,2026-07-17,SMS,Ya no es cliente
BAJA00350,CLI00322,2024-05-07,Tienda,Ya no es cliente
BAJA00351,CLI05534,2026-04-14,WhatsApp,Exceso de comunicaciones
BAJA00352,CLI01650,2025-07-31,Formulario web,Exceso de comunicaciones
BAJA00353,CLI00839,2026-01-12,Tienda,No especifica
BAJA00354,CLI00730,2025-07-29,Formulario web,Exceso de comunicaciones
BAJA00355,CLI00625,2025-12-23,SMS,Ya no es cliente
BAJA00356,CLI01115,2024-12-03,Email,No especifica
BAJA00357,CLI02557,2025-01-15,WhatsApp,Exceso de comunicaciones
BAJA00358,CLI00759,2024-09-13,Formulario web,Pidio no ser contactado en tienda
BAJA00359,CLI01123,2025-04-27,Email,No especifica
BAJA00360,CLI00852,2025-01-07,Tienda,Pidio no ser contactado en tienda
BAJA00361,CLI02451,2026-04-10,Tienda,Exceso de comunicaciones
BAJA00362,CLI01252,2024-10-14,Tienda,No especifica
BAJA00363,CLI05501,2024-03-15,Formulario web,No especifica
BAJA00364,CLI03798,2024-02-23,SMS,No especifica
BAJA00365,CLI00046,2025-04-04,Email,Exceso de comunicaciones
BAJA00366,CLI03345,2025-05-27,Email,Pidio no ser contactado en tienda
BAJA00367,CLI01497,2023-03-28,Tienda,No especifica
BAJA00368,CLI02313,2023-04-07,Email,Ya no es cliente
BAJA00369,CLI05644,2025-11-17,Tienda,No especifica
BAJA00370,CLI04304,2023-01-27,WhatsApp,Ya no es cliente
BAJA00371,CLI01067,2026-07-23,Tienda,Exceso de comunicaciones
BAJA00372,CLI00376,2024-07-26,Tienda,Ya no es cliente
BAJA00373,CLI01233,2026-04-16,Email,Ya no es cliente
BAJA00374,CLI05753,2024-04-05,Email,Ya no es cliente
BAJA00375,CLI01793,2024-12-25,WhatsApp,Exceso de comunicaciones
BAJA00376,CLI02323,2025-06-01,Tienda,Exceso de comunicaciones
BAJA00377,CLI00141,2025-10-20,WhatsApp,Pidio no ser contactado en tienda
BAJA00378,CLI05192,2026-08-04,Formulario web,Ya no es cliente
BAJA00379,CLI02671,2025-02-09,WhatsApp,Reclamo previo
BAJA00380,CLI02626,2026-07-02,Formulario web,Pidio no ser contactado en tienda
BAJA00381,CLI02460,2023-11-28,Tienda,Pidio no ser contactado en tienda
BAJA00382,CLI04660,2024-04-29,Email,No especifica
BAJA00383,CLI01765,2025-07-27,SMS,Exceso de comunicaciones
BAJA00384,CLI05179,2024-08-12,SMS,Ya no es cliente
BAJA00385,CLI05817,2026-01-17,SMS,Reclamo previo
BAJA00386,CLI01374,2025-06-25,Email,Exceso de comunicaciones
BAJA00387,CLI00468,2026-01-30,SMS,Exceso de comunicaciones
BAJA00388,CLI03606,2026-04-03,SMS,Ya no es cliente
BAJA00389,CLI03286,2025-07-14,Email,Ya no es cliente
BAJA00390,CLI02134,2023-12-11,Email,Exceso de comunicaciones
BAJA00391,CLI02128,2024-01-25,SMS,Pidio no ser contactado en tienda
BAJA00392,CLI05913,2026-07-28,Tienda,Exceso de comunicaciones
BAJA00393,CLI04281,2025-02-22,Formulario web,No especifica
BAJA00394,CLI04176,2024-10-08,Tienda,Exceso de comunicaciones
BAJA00395,CLI03986,2023-06-08,Tienda,Ya no es cliente
BAJA00396,CLI04799,2026-05-29,Email,No especifica
BAJA00397,CLI02179,2024-10-26,WhatsApp,Exceso de comunicaciones
BAJA00398,CLI03125,2025-01-02,Email,Ya no es cliente
BAJA00399,CLI02984,2025-09-19,Email,Exceso de comunicaciones
BAJA00400,CLI03463,2026-04-16,Email,No especifica
BAJA00401,CLI00678,2024-06-14,Email,Exceso de comunicaciones
BAJA00402,CLI04065,2024-05-23,Tienda,Reclamo previo
BAJA00403,CLI03469,2024-05-07,WhatsApp,No especifica
BAJA00404,CLI02235,2023-12-12,Email,Exceso de comunicaciones
BAJA00405,CLI05215,2025-06-17,Formulario web,No especifica
