id_devolucion,id_transaccion,id_cliente,fecha_devolucion,monto_devuelto,motivo
DEV0091,TX0042549,CLI01992,2023-10-15,21727.71,Producto defectuoso
DEV0092,TX0047672,CLI03262,2024-10-31,13006.55,Producto defectuoso
DEV0093,TX0037723,,2024-01-04,10906.05,No cumplio expectativas
DEV0094,TX0016068,CLI03785,2022-12-19,53441.37,Producto defectuoso
DEV0095,TX0018566,CLI04357,2023-12-03,26902.97,No cumplio expectativas
DEV0096,TX0031190,CLI01989,2025-02-20,57544.46,No cumplio expectativas
DEV0097,TX0003165,CLI02895,2022-12-11,20570.48,No cumplio expectativas
DEV0098,TX0019986,CLI02916,2023-12-29,9866.21,Error de compra
DEV0099,TX0037635,,2022-10-24,6729.13,No cumplio expectativas
DEV0100,TX0016500,CLI00455,2022-12-06,25838.15,Error de compra
DEV0101,TX0014297,,2022-12-30,11252.27,Error de compra
DEV0102,TX0007421,CLI01490,2025-04-13,10979.6,Producto dañado en envio
DEV0103,TX0026109,CLI00726,2025-02-01,53057.62,Error de compra
DEV0104,TX0033278,CLI03063,2023-06-05,38906.42,No cumplio expectativas
DEV0105,TX0042795,CLI01963,2024-06-13,13258.17,No cumplio expectativas
DEV0106,TX0007328,CLI00066,2025-06-19,11119.81,Cambio de talle/color
DEV0107,TX0049639,,2023-03-02,8235.43,No cumplio expectativas
DEV0108,TX0004167,,2025-09-20,10390.13,Producto defectuoso
DEV0109,TX0038586,CLI00681,2024-07-16,18698.94,Producto dañado en envio
DEV0110,TX0003746,,2024-02-15,23705.0,Producto dañado en envio
DEV0111,TX0034831,,2023-01-15,14879.81,Producto defectuoso
DEV0112,TX0040329,,2025-10-11,25088.6,Error de compra
DEV0113,TX0043575,,2023-04-22,40155.32,Producto defectuoso
DEV0114,TX0029631,,2024-10-22,16768.21,Error de compra
DEV0115,TX0032168,CLI05228,2023-08-30,26346.21,Producto defectuoso
DEV0116,TX0013410,,2024-08-20,9817.4,No cumplio expectativas
DEV0117,TX0005744,CLI01267,2025-02-25,35719.43,Error de compra
DEV0118,TX0012328,,2024-07-04,25586.12,Error de compra
DEV0119,TX0037976,,2024-05-30,59120.23,No cumplio expectativas
DEV0120,TX0027902,CLI05204,2025-11-22,21596.25,Producto dañado en envio
DEV0121,TX0031377,CLI04869,2024-12-23,27087.79,Error de compra
DEV0122,TX0044189,CLI00381,2023-11-17,11666.94,Cambio de talle/color
DEV0123,TX0019711,CLI03058,2023-06-10,500.0,Error de compra
DEV0124,TX0002553,CLI02146,2022-06-22,43410.27,Error de compra
DEV0125,TX0037954,,2022-11-17,7279.84,Cambio de talle/color
DEV0126,TX0015553,,2022-03-26,69709.45,Error de compra
DEV0127,TX0046388,CLI00671,2025-03-26,9700.35,Producto dañado en envio
DEV0128,TX0024546,CLI01906,2025-03-18,9086.18,Producto dañado en envio
DEV0129,TX0006898,,2022-06-12,19417.74,Error de compra
DEV0130,TX0042290,CLI06021,2025-08-03,43610.73,Error de compra
DEV0131,TX0000861,CLI02975,2024-03-09,16130.93,Cambio de talle/color
DEV0132,TX0002304,,2023-12-06,24233.53,Error de compra
DEV0133,TX0049872,,2025-01-07,9263.94,Cambio de talle/color
DEV0134,TX0006016,,2024-11-14,15649.4,No cumplio expectativas
DEV0135,TX0020468,,2025-10-05,21277.35,Cambio de talle/color
DEV0136,TX0037884,,2023-11-05,62337.35,Cambio de talle/color
DEV0137,TX0036605,,2023-11-01,6833.72,Producto defectuoso
DEV0138,TX0029982,,2023-10-03,9600.13,Producto dañado en envio
DEV0139,TX0036336,CLI04325,2023-12-25,43016.28,Producto defectuoso
DEV0140,TX0037205,,2023-11-26,22538.71,Producto defectuoso
DEV0141,TX0003895,,2022-10-15,12666.88,Producto dañado en envio
DEV0142,TX0012162,,2025-06-05,11147.56,No cumplio expectativas
DEV0143,TX0008381,CLI03412,2023-06-29,16680.33,No cumplio expectativas
DEV0144,TX0034324,,2023-08-13,12074.94,Error de compra
DEV0145,TX0014637,,2025-08-09,13603.64,Cambio de talle/color
DEV0146,TX0009338,,2023-11-22,24747.48,Producto defectuoso
DEV0147,TX0000842,CLI02896,2022-06-12,12361.35,Error de compra
DEV0148,TX0009416,CLI00579,2025-01-27,4971.49,Producto defectuoso
DEV0149,TX0003717,,2025-08-17,13317.59,No cumplio expectativas
DEV0150,TX0017450,,2025-12-24,23864.72,Producto dañado en envio
DEV0151,TX0036839,CLI02522,2025-10-22,6260.1,Producto dañado en envio
DEV0152,TX0017560,,2023-01-14,14258.88,Cambio de talle/color
DEV0153,TX0025809,,2025-05-19,14615.53,Error de compra
DEV0154,TX0004261,CLI00073,2023-09-23,11626.49,Error de compra
DEV0155,TX0024764,,2024-06-18,25385.6,No cumplio expectativas
DEV0156,TX0049278,,2022-12-31,41514.75,Producto defectuoso
DEV0157,TX0009515,,2024-11-10,10625.37,Cambio de talle/color
DEV0158,TX0026137,,2023-08-31,11798.38,Error de compra
DEV0159,TX0034120,,2024-04-30,10087.95,Producto dañado en envio
DEV0160,TX0001970,CLI04921,2022-08-25,3160.0,Producto defectuoso
DEV0161,TX0033430,CLI03327,2023-11-24,25798.23,Error de compra
DEV0162,TX0023493,,2023-04-03,11589.59,Producto dañado en envio
DEV0163,TX0006034,,2024-11-26,48221.82,Producto dañado en envio
DEV0164,TX0005488,CLI03294,2024-03-08,9996.19,No cumplio expectativas
DEV0165,TX0006354,CLI00567,2025-02-04,15679.95,Producto defectuoso
DEV0166,TX0029013,CLI00416,2023-04-13,859.63,Cambio de talle/color
DEV0167,TX0005056,,2024-10-26,10856.47,Producto dañado en envio
DEV0168,TX0048124,CLI03008,2023-05-28,67777.56,Producto dañado en envio
DEV0169,TX0013574,,2022-10-12,16248.27,Error de compra
DEV0170,TX0013955,CLI03722,2022-06-15,31354.59,Producto defectuoso
DEV0171,TX0015485,,2024-09-04,11808.53,Producto defectuoso
DEV0172,TX0000421,CLI04542,2023-07-16,8141.36,No cumplio expectativas
DEV0173,TX0036719,,2024-08-22,25145.79,No cumplio expectativas
DEV0174,TX0047086,CLI03073,2025-02-02,74536.19,Producto defectuoso
DEV0175,TX0036974,,2025-09-20,26024.87,Error de compra
DEV0176,TX0031303,CLI01609,2024-01-19,5228.8,No cumplio expectativas
DEV0177,TX0036132,CLI01261,2025-05-18,28476.82,Producto defectuoso
DEV0178,TX0043429,,2025-09-11,14608.74,Producto defectuoso
DEV0179,TX0024478,CLI00033,2023-10-16,9322.04,No cumplio expectativas
DEV0180,TX0025993,CLI03652,2023-03-27,11779.62,Error de compra
DEV0181,TX0000885,CLI01501,2025-03-04,23609.7,Producto dañado en envio
DEV0182,TX0001813,,2025-05-23,15532.9,No cumplio expectativas
DEV0183,TX0048064,,2023-07-09,22320.19,Cambio de talle/color
DEV0184,TX0020441,,2025-07-20,9066.72,Producto dañado en envio
DEV0185,TX0014151,CLI00419,2025-05-15,7464.01,No cumplio expectativas
DEV0186,TX0007623,,2025-11-17,37579.51,Cambio de talle/color
DEV0187,TX0006185,CLI04862,2022-10-04,15794.79,No cumplio expectativas
DEV0188,TX0048760,,2024-04-07,30684.72,Producto defectuoso
DEV0189,TX0008050,CLI01016,2025-06-04,18345.13,Cambio de talle/color
DEV0190,TX0006658,,2025-10-16,32586.34,No cumplio expectativas
DEV0191,TX0010078,CLI02914,2023-08-27,18011.2,Producto dañado en envio
DEV0192,TX0025542,CLI05157,2023-08-22,3631.93,Error de compra
DEV0193,TX0026278,CLI02619,2023-08-19,7281.52,Error de compra
DEV0194,TX0028260,CLI06017,2025-06-26,73074.39,No cumplio expectativas
DEV0195,TX0029045,CLI05788,2024-11-02,52996.45,Producto defectuoso
DEV0196,TX0032947,,2025-02-12,17513.22,Cambio de talle/color
DEV0197,TX0044855,CLI04007,2024-06-02,6143.14,Producto dañado en envio
DEV0198,TX0007223,CLI04690,2023-07-21,6140.9,Producto defectuoso
DEV0199,TX0034651,,2025-10-03,9866.48,Producto dañado en envio
DEV0200,TX0018162,,2022-02-13,14177.15,Error de compra
DEV0201,TX0005070,CLI02501,2024-03-25,63994.8,Cambio de talle/color
DEV0202,TX0022345,CLI04517,2024-12-08,20572.48,Error de compra
DEV0203,TX0004581,CLI05807,2022-12-09,6181.08,Producto dañado en envio
DEV0204,TX0032308,CLI04992,2024-10-05,11722.08,Producto defectuoso
DEV0205,TX0049661,CLI02249,2023-11-18,58009.87,Producto defectuoso
DEV0206,TX0034667,,2023-02-12,9300.18,Error de compra
DEV0207,TX0042373,CLI02177,2024-07-21,5382.69,Producto dañado en envio
DEV0208,TX0022998,,2025-08-23,19948.36,Producto defectuoso
DEV0209,TX0032109,,2025-02-06,22409.72,Error de compra
DEV0210,TX0014757,CLI04315,2022-08-27,7008.9,Producto defectuoso
DEV0211,TX0049472,CLI00839,2025-03-22,7732.23,Error de compra
DEV0212,TX0040383,,2022-11-12,6494.84,Error de compra
DEV0213,TX0023274,,2024-10-02,11808.83,Producto defectuoso
DEV0214,TX0020805,CLI01511,2024-12-24,2835.76,Error de compra
DEV0215,TX0039857,CLI05380,2024-08-24,60405.37,Producto dañado en envio
DEV0216,TX0027748,CLI03674,2024-11-09,10681.99,Producto dañado en envio
DEV0217,TX0017779,CLI03662,2024-02-12,12737.26,Producto defectuoso
DEV0218,TX0025636,CLI00218,2025-03-14,6954.63,Cambio de talle/color
DEV0219,TX0015726,CLI00529,2025-04-25,11255.56,Cambio de talle/color
DEV0220,TX0025277,CLI03925,2024-11-14,10067.12,No cumplio expectativas
DEV0221,TX0006094,CLI01644,2024-04-06,16570.84,Producto defectuoso
DEV0222,TX0009887,,2025-03-13,5387.73,Producto dañado en envio
DEV0223,TX0014353,CLI02919,2025-06-13,21007.66,Error de compra
DEV0224,TX0021602,,2024-07-06,23056.0,Producto dañado en envio
DEV0225,TX0002479,CLI04692,2023-09-09,10299.42,Producto defectuoso
DEV0226,TX0001699,CLI05595,2025-05-13,7913.41,Producto defectuoso
DEV0227,TX0016197,CLI01298,2024-11-14,11598.64,Producto dañado en envio
DEV0228,TX0028656,CLI05780,2025-08-02,25298.4,Cambio de talle/color
DEV0229,TX0024070,,2024-08-23,15063.92,Error de compra
DEV0230,TX0021693,CLI03156,2023-08-05,29494.94,Producto dañado en envio
DEV0231,TX0023704,,2024-05-04,41967.28,Producto defectuoso
DEV0232,TX0012386,,2022-12-23,30613.63,Producto defectuoso
DEV0233,TX0018804,,2023-06-17,6189.29,Producto defectuoso
DEV0234,TX0021255,,2025-08-09,33260.29,Producto defectuoso
DEV0235,TX0020826,,2023-02-22,75974.99,Producto defectuoso
DEV0236,TX0035714,,2025-11-20,13865.3,Producto dañado en envio
DEV0237,TX0031076,CLI03870,2022-11-28,9993.93,Error de compra
DEV0238,TX0018673,,2024-08-09,14563.83,Producto dañado en envio
DEV0239,TX0032263,CLI03526,2025-03-27,67380.65,Producto dañado en envio
DEV0240,TX0022731,,2022-06-14,13384.72,Producto dañado en envio
DEV0241,TX0018768,CLI00759,2025-08-07,20114.69,Cambio de talle/color
DEV0242,TX0001328,,2023-09-05,19900.03,Cambio de talle/color
DEV0243,TX0017043,CLI03015,2023-12-27,36831.93,Producto dañado en envio
DEV0244,TX0006308,,2024-02-10,5737.45,Cambio de talle/color
DEV0245,TX0040580,,2024-09-18,12364.88,Producto defectuoso
DEV0246,TX0048297,CLI01805,2023-02-17,10662.0,Error de compra
DEV0247,TX0020194,,2024-08-16,7080.3,Producto dañado en envio
DEV0248,TX0009826,CLI04250,2025-02-10,8606.81,Producto dañado en envio
DEV0249,TX0016411,,2025-07-08,13011.29,Producto dañado en envio
DEV0250,TX0048106,,2025-04-17,14527.75,Producto defectuoso
DEV0251,TX0012800,CLI02591,2023-10-11,16912.56,Error de compra
DEV0252,TX0033545,,2025-10-18,53202.44,Producto dañado en envio
DEV0253,TX0028816,CLI02313,2024-08-22,7824.47,Error de compra
DEV0254,TX0003217,CLI02970,2024-10-05,10217.82,Producto dañado en envio
DEV0255,TX0009530,CLI02842,2023-03-28,20009.61,Producto dañado en envio
DEV0256,TX0015687,,2024-11-18,17759.37,No cumplio expectativas
DEV0257,TX0045106,,2025-01-21,27025.15,Producto defectuoso
DEV0258,TX0039509,,2023-02-08,13852.16,No cumplio expectativas
DEV0259,TX0036127,CLI01347,2022-08-29,5795.91,Cambio de talle/color
DEV0260,TX0002534,CLI02868,2025-08-01,13219.11,Producto defectuoso
DEV0261,TX0036334,CLI01264,2025-04-18,20808.23,Producto defectuoso
DEV0262,TX0049985,CLI02835,2024-02-05,23994.77,Error de compra
DEV0263,TX0009570,,2025-02-27,50858.86,No cumplio expectativas
DEV0264,TX0023893,,2024-12-13,12751.12,No cumplio expectativas
DEV0265,TX0010336,,2022-10-24,15743.95,Error de compra
DEV0266,TX0020145,CLI04533,2024-05-08,30959.84,No cumplio expectativas
DEV0267,TX0048401,CLI03312,2024-12-02,6421.79,Error de compra
DEV0268,TX0016931,CLI00988,2022-11-29,25814.39,Producto defectuoso
DEV0269,TX0021512,CLI00189,2022-12-11,76134.33,Producto dañado en envio
DEV0270,TX0011560,CLI04142,2025-03-01,15388.49,No cumplio expectativas
DEV0271,TX0019454,,2023-11-05,16130.2,Producto defectuoso
DEV0272,TX0048368,CLI03473,2024-02-12,10655.8,Producto dañado en envio
DEV0273,TX0018583,,2023-05-20,9654.72,Error de compra
DEV0274,TX0012129,,2023-03-08,18466.51,Producto defectuoso
DEV0275,TX0011332,,2025-01-06,19703.67,Producto defectuoso
DEV0276,TX0031308,,2022-01-31,21204.57,Producto defectuoso
DEV0277,TX0030384,,2024-03-24,16437.85,Cambio de talle/color
DEV0278,TX0034552,,2023-06-30,13192.62,Producto defectuoso
DEV0279,TX0022762,CLI05536,2024-12-24,14870.27,Error de compra
DEV0280,TX0012294,CLI00366,2025-04-19,14544.64,No cumplio expectativas
DEV0281,TX0014873,CLI04266,2024-11-19,86179.93,Producto dañado en envio
DEV0282,TX0009851,CLI00729,2023-01-18,24570.18,Error de compra
DEV0283,TX0007243,CLI03514,2022-11-30,12828.39,Error de compra
DEV0284,TX0014944,,2025-12-05,23935.73,No cumplio expectativas
DEV0285,TX0003410,CLI05057,2025-11-07,5561.26,Producto defectuoso
DEV0286,TX0034673,,2025-06-08,8819.63,Producto defectuoso
DEV0287,TX0026222,,2025-06-11,16244.52,Error de compra
DEV0288,TX0008809,CLI01782,2023-09-13,5204.29,Producto defectuoso
DEV0289,TX0045592,CLI04141,2025-06-03,69462.53,Producto defectuoso
DEV0290,TX0041239,,2023-07-04,8899.01,Cambio de talle/color
DEV0291,TX0025844,CLI03037,2024-12-06,16381.15,Producto dañado en envio
DEV0292,TX0008582,CLI02152,2025-03-09,11447.09,No cumplio expectativas
DEV0293,TX0000413,CLI02492,2023-12-21,21882.45,Error de compra
DEV0294,TX0027059,,2025-01-10,13514.27,No cumplio expectativas
DEV0295,TX0002143,CLI04012,2024-04-22,15381.17,Producto defectuoso
DEV0296,TX0026339,,2023-01-04,18810.98,Cambio de talle/color
DEV0297,TX0044010,CLI03976,2025-03-29,19155.24,Producto defectuoso
DEV0298,TX0024053,,2025-02-16,24937.38,Error de compra
DEV0299,TX0022647,CLI04936,2022-04-15,45696.44,Producto defectuoso
DEV0300,TX0043889,,2025-08-17,4413.17,Cambio de talle/color
DEV0301,TX0035865,,2023-12-09,20231.33,Producto dañado en envio
DEV0302,TX0016546,CLI00409,2025-02-22,8846.48,No cumplio expectativas
DEV0303,TX0026122,,2023-12-16,27210.78,No cumplio expectativas
DEV0304,TX0013055,CLI03414,2023-05-04,14077.47,No cumplio expectativas
DEV0305,TX0045140,CLI02953,2023-11-21,28727.35,Error de compra
DEV0306,TX0004472,,2025-01-29,14666.01,Cambio de talle/color
DEV0307,TX0038437,CLI03147,2025-03-04,2730.85,Error de compra
DEV0308,TX0041381,CLI05829,2024-01-10,28507.45,Producto dañado en envio
DEV0309,TX0023951,CLI00444,2025-01-22,9205.62,No cumplio expectativas
DEV0310,TX0017070,CLI02867,2025-05-23,13986.24,No cumplio expectativas
DEV0311,TX0007097,CLI01110,2024-08-26,12369.52,Producto defectuoso
DEV0312,TX0019714,,2024-07-29,26627.14,Cambio de talle/color
DEV0313,TX0026620,,2023-12-14,26613.81,Producto dañado en envio
DEV0314,TX0047627,,2025-04-18,13946.57,No cumplio expectativas
DEV0315,TX0040775,,2023-11-28,17879.85,Cambio de talle/color
DEV0316,TX0020351,,2025-07-11,23156.31,No cumplio expectativas
DEV0317,TX0018381,CLI01717,2022-03-28,12335.67,No cumplio expectativas
DEV0318,TX0014129,,2023-04-14,10181.64,No cumplio expectativas
DEV0319,TX0039763,CLI03824,2024-10-03,8693.06,Error de compra
DEV0320,TX0021530,CLI03474,2022-11-05,16088.26,Cambio de talle/color
DEV0321,TX0033612,,2024-02-13,10250.82,Error de compra
DEV0322,TX0031922,CLI03506,2022-08-25,14485.55,No cumplio expectativas
DEV0323,TX0047573,CLI01889,2024-03-14,8159.16,Producto dañado en envio
DEV0324,TX0005757,,2025-09-18,10198.2,Producto defectuoso
DEV0325,TX0038117,CLI03367,2023-10-01,11085.18,Producto defectuoso
DEV0326,TX0025393,CLI01774,2024-04-16,10161.73,No cumplio expectativas
DEV0327,TX0039732,CLI02571,2024-04-05,13102.78,No cumplio expectativas
DEV0328,TX0007198,,2024-05-05,3905.97,Error de compra
DEV0329,TX0041572,,2024-08-25,673.3,No cumplio expectativas
DEV0330,TX0043596,,2023-04-12,3089.52,Producto dañado en envio
DEV0331,TX0036280,,2025-06-30,15668.86,No cumplio expectativas
DEV0332,TX0024565,CLI03494,2023-01-06,21376.44,Producto defectuoso
DEV0333,TX0017703,CLI03134,2025-03-28,11833.33,Producto defectuoso
DEV0334,TX0046094,CLI02953,2024-05-13,24900.16,Producto dañado en envio
DEV0335,TX0010268,,2025-06-18,25201.59,Producto defectuoso
DEV0336,TX0041929,CLI03879,2023-05-23,25477.87,Producto dañado en envio
DEV0337,TX0008019,,2025-01-25,57006.32,Cambio de talle/color
DEV0338,TX0021215,,2022-05-29,4741.8,Producto defectuoso
DEV0339,TX0037419,,2024-08-14,7579.01,Cambio de talle/color
DEV0340,TX0049035,CLI02662,2024-02-17,16372.51,Error de compra
DEV0341,TX0023923,,2023-10-01,18821.44,No cumplio expectativas
DEV0342,TX0015916,CLI00994,2024-05-04,16680.96,Error de compra
DEV0343,TX0020813,CLI00111,2023-03-10,29224.05,Error de compra
DEV0344,TX0021393,CLI03426,2024-10-20,17961.51,No cumplio expectativas
DEV0345,TX0023455,CLI03988,2025-04-30,6459.8,Error de compra
DEV0346,TX0049441,,2022-05-09,15414.18,Producto dañado en envio
DEV0347,TX0008433,,2024-07-07,11477.48,No cumplio expectativas
DEV0348,TX0005216,CLI04874,2025-11-19,17020.21,Producto defectuoso
DEV0349,TX0006535,,2024-12-03,12281.57,No cumplio expectativas
DEV0350,TX0042685,,2024-06-21,10999.95,Producto dañado en envio
DEV0351,TX0043649,,2025-09-10,7226.27,Cambio de talle/color
DEV0352,TX0042748,,2023-10-04,16474.45,Producto dañado en envio
DEV0353,TX0005699,CLI01066,2025-08-30,20723.38,No cumplio expectativas
DEV0354,TX0034801,,2024-08-27,19131.67,Error de compra
DEV0355,TX0031307,CLI03990,2023-10-07,11338.98,Cambio de talle/color
DEV0356,TX0039958,CLI01434,2025-05-02,20290.44,Producto dañado en envio
DEV0357,TX0047592,CLI04709,2025-09-11,7188.29,Producto defectuoso
DEV0358,TX0027665,,2024-04-19,4189.94,Cambio de talle/color
DEV0359,TX0046515,CLI04935,2023-01-24,5316.8,No cumplio expectativas
DEV0360,TX0045601,CLI03339,2025-04-26,6902.98,No cumplio expectativas
DEV0361,TX0004932,,2023-06-06,8788.96,No cumplio expectativas
DEV0362,TX0030089,CLI00309,2025-03-14,66166.21,Producto defectuoso
DEV0363,TX0026023,CLI02681,2023-07-28,34757.97,Cambio de talle/color
DEV0364,TX0014224,,2023-08-19,11865.62,Producto defectuoso
DEV0365,TX0016509,,2025-07-15,11261.95,No cumplio expectativas
DEV0366,TX0027885,,2023-10-26,7086.84,Cambio de talle/color
DEV0367,TX0040500,,2025-07-27,6889.28,No cumplio expectativas
DEV0368,TX0034365,,2023-02-07,5409.14,No cumplio expectativas
DEV0369,TX0021126,,2024-08-30,9629.83,Error de compra
DEV0370,TX0008398,CLI03073,2024-02-26,7357.87,No cumplio expectativas
DEV0371,TX0035467,,2025-06-03,17007.7,Error de compra
DEV0372,TX0011095,,2025-04-09,6797.22,No cumplio expectativas
DEV0373,TX0022104,CLI00534,2024-01-28,15806.98,Error de compra
DEV0374,TX0040421,,2024-11-01,15179.15,Error de compra
DEV0375,TX0029432,CLI05810,2025-08-12,14325.83,Cambio de talle/color
DEV0376,TX0015141,CLI05676,2025-01-18,83906.83,Cambio de talle/color
DEV0377,TX0002649,,2024-01-03,43713.83,Error de compra
DEV0378,TX0048750,,2024-02-02,12387.04,Cambio de talle/color
DEV0379,TX0030800,CLI03003,2024-01-16,13563.43,No cumplio expectativas
DEV0380,TX0044973,CLI00796,2023-02-08,11300.37,Producto defectuoso
