id_cliente,fecha_inscripcion,nivel,puntos_acumulados,puntos_canjeados,fecha_ultimo_movimiento
CLI05594,2024-05-31,Bronze,1290,198,2024-10-09
CLI05538,2024-09-07,Bronze,369,55,2025-02-21
CLI04324,2025-07-11,Bronze,5521,4251,2025-12-22
CLI04619,2023-06-16,Bronze,8968,6423,2024-02-23
CLI05806,2022-06-14,Bronze,3702,2664,
CLI00684,2022-04-07,Bronze,5851,359,2023-12-16
CLI01096,2025-02-08,Bronze,1867,188,2025-02-17
CLI01587,2025-10-27,Bronze,3674,564,2025-11-25
CLI05564,2022-09-25,Bronze,50,24,
CLI04709,2024-09-21,Bronze,3332,2841,2025-05-31
CLI04746,2022-08-02,Bronze,9602,3383,2025-11-29
CLI03816,2023-06-13,Bronze,3021,704,2024-02-13
CLI02334,2024-04-21,Bronze,2554,1915,2025-07-29
CLI02639,2023-10-07,Bronze,2843,1151,2025-02-16
CLI00306,2024-07-25,Bronze,2964,1215,2025-01-13
CLI04975,2023-07-05,Bronze,5700,2786,2024-08-24
CLI04071,2023-11-09,Bronze,6880,1609,2025-06-10
CLI05303,2024-05-22,Bronze,2512,1030,2025-07-30
CLI02569,2024-02-19,Bronze,4218,1278,2025-06-17
CLI01855,2023-08-06,Bronze,10543,220,2025-07-08
CLI03572,2023-04-01,Bronze,9437,7341,2025-01-08
CLI02285,2023-04-27,Bronze,115,25,2024-05-24
CLI01421,2024-10-28,Bronze,9771,7747,2025-01-22
CLI01403,2023-09-25,Bronze,5004,2845,2025-09-14
CLI01603,2025-02-11,Bronze,9907,6043,2025-07-24
CLI01544,2025-11-28,Bronze,10802,1159,2025-12-20
CLI03169,2022-09-07,Bronze,95,15,
CLI00136,2024-08-16,Bronze,7584,2855,2025-11-01
CLI01491,2023-02-19,Bronze,3794,3294,
CLI04789,2023-12-02,Bronze,442,15,2025-01-13
CLI03059,2025-12-29,Bronze,3534,821,2025-12-31
CLI00057,2022-07-11,Bronze,4740,1481,2022-11-17
CLI00957,2024-06-15,Bronze,5026,420,2025-01-14
CLI01219,2022-06-11,Bronze,3396,570,
CLI00335,2024-07-27,Bronze,6073,3050,2024-07-30
CLI02255,2025-05-06,Bronze,3513,2955,2025-10-05
CLI03688,2024-02-26,Bronze,1825,419,2024-07-26
CLI02374,2025-09-03,Silver,13422,4108,2025-09-08
CLI03784,2025-05-30,Bronze,6899,5844,2025-07-08
CLI03921,2025-06-08,Bronze,8870,6885,2025-10-24
CLI05818,2024-07-24,Bronze,4054,1614,2025-04-14
CLI00739,2025-01-17,Bronze,2626,1323,2025-04-20
CLI02845,2022-04-05,Bronze,4468,1737,2022-04-14
CLI01003,2022-12-02,Bronze,3435,4171,2024-06-17
CLI03357,2023-02-09,Bronze,1719,941,2024-07-08
CLI04915,2024-09-19,Bronze,476,169,2025-05-20
CLI00001,2023-05-15,Bronze,2860,170,2024-11-18
CLI03318,2025-06-13,Bronze,706,122,2025-07-27
CLI04010,2024-10-23,Bronze,4554,1876,2025-01-19
CLI02311,2025-09-23,Bronze,3543,2219,2025-09-28
CLI05506,2024-03-25,Bronze,1206,274,2025-02-23
CLI02039,2024-04-24,Bronze,501,355,2025-11-08
CLI01766,2023-10-25,Bronze,4998,3628,2024-09-06
CLI02110,2024-10-15,Bronze,7424,5997,2024-10-24
CLI02493,2022-09-27,Bronze,1325,926,
CLI05525,2024-08-02,Bronze,629,371,2025-11-03
CLI04618,2024-11-13,Bronze,6809,5319,2025-09-06
CLI00195,2024-09-12,Bronze,2071,1030,2025-01-17
CLI01671,2025-03-19,Bronze,1499,1150,2025-06-12
CLI04360,2024-06-21,Bronze,436,272,2024-11-18
CLI04547,2024-05-30,Bronze,2114,68,2025-05-07
CLI01351,2025-01-23,Bronze,7205,1386,2025-03-06
CLI02030,2023-11-14,Bronze,243,173,2024-10-17
CLI04987,2022-04-15,Bronze,6366,153,2024-02-09
CLI02080,2024-04-14,Bronze,1706,291,2025-09-22
CLI03963,2025-03-25,Bronze,4718,2248,2025-10-10
CLI01750,2024-08-31,Bronze,6380,1649,2025-09-06
CLI03171,2023-10-29,Bronze,2267,515,2024-12-06
CLI00184,2022-05-06,Bronze,1019,735,2023-08-17
CLI05758,2024-08-18,Bronze,5905,4216,2024-08-21
CLI04083,2024-11-24,Bronze,1512,393,2025-11-27
CLI05052,2023-09-10,Silver,17218,6160,2024-02-03
CLI01916,2023-07-23,Bronze,1842,95,2025-02-26
CLI04397,2023-01-23,Bronze,2183,492,2025-08-09
CLI03026,2022-10-12,Bronze,1477,167,2022-10-13
CLI00730,2025-03-25,Bronze,11540,3376,2025-05-01
CLI02844,2025-07-30,Bronze,2726,434,2025-08-17
CLI00861,2024-09-26,Silver,18314,6541,2024-12-08
CLI05771,2024-09-12,Bronze,3299,169,2025-05-02
CLI02396,2025-06-20,Bronze,3523,144,2025-08-30
CLI05678,2023-11-04,Bronze,3667,1803,2025-05-03
CLI00758,2022-04-24,Bronze,1117,290,2025-06-30
CLI02220,2025-06-03,Bronze,3864,1266,2025-09-21
CLI04333,2024-03-14,Bronze,785,87,2025-08-23
CLI03084,2025-02-23,Bronze,8976,5230,2025-09-22
CLI04608,2025-04-24,Bronze,902,142,2025-12-10
CLI01245,2023-07-11,Bronze,1781,129,2024-02-26
CLI00116,2022-02-26,Bronze,2897,2205,2022-07-13
CLI04000,2023-06-09,Bronze,1653,1347,2025-09-14
CLI01253,2025-08-23,Bronze,3788,3174,2025-10-02
CLI05705,2023-10-12,Bronze,1434,50,2024-10-13
CLI02560,2023-04-06,Bronze,1087,726,
CLI02737,2025-02-28,Bronze,753,487,2025-08-24
CLI04080,2023-02-10,Bronze,3685,496,2024-02-14
CLI00841,2022-04-27,Bronze,10228,452,
CLI02173,2022-09-11,Bronze,9025,2174,2023-05-21
CLI05993,2023-06-24,Bronze,7613,1355,2024-11-25
CLI04087,2024-03-03,Bronze,559,214,2025-08-19
CLI05345,2023-10-10,Bronze,295,337,2025-01-13
CLI05733,2024-09-28,Bronze,6500,2447,2025-03-19
CLI02962,2025-01-26,Bronze,2660,1534,2025-08-10
CLI04673,2022-06-09,Bronze,4961,1554,
CLI01626,2023-07-06,Bronze,10365,3543,2025-09-27
CLI05353,2023-03-19,Bronze,4983,2510,2023-06-13
CLI05315,2025-05-01,Bronze,961,489,2025-06-28
CLI00617,2022-12-26,Bronze,13,1,2025-12-22
CLI03074,2024-10-09,Bronze,11478,1258,2024-12-01
CLI04958,2023-03-17,Bronze,1288,698,2023-06-07
CLI04104,2022-09-14,Bronze,1709,1040,2024-03-20
CLI01131,2023-12-16,Bronze,7300,1506,2024-04-11
CLI03660,2024-03-19,Bronze,3066,806,2025-11-23
CLI04901,2025-08-22,Bronze,2547,534,2025-12-26
CLI00122,2022-05-30,Bronze,9698,1636,
CLI00276,2023-08-21,Bronze,5984,2257,2024-07-10
CLI03210,2023-06-10,Bronze,371,75,2024-04-21
CLI04737,2022-10-22,Bronze,23,16,2024-08-19
CLI04603,2023-03-16,Bronze,7134,2504,
CLI00798,2023-03-21,Bronze,4484,3794,2023-04-05
CLI05570,2022-11-12,Bronze,217,131,
CLI00954,2023-10-14,Bronze,4071,2120,2023-10-26
CLI00894,2023-07-18,Bronze,306,70,2025-01-23
CLI00150,2022-02-19,Bronze,735,362,2024-12-17
CLI02934,2022-05-22,Bronze,1658,1135,2024-11-21
CLI01024,2025-04-24,Bronze,1842,1522,2025-10-13
CLI05737,2024-09-20,Bronze,1740,248,2025-05-12
CLI03910,2022-09-04,Bronze,7562,4416,2024-02-15
CLI04734,2023-10-28,Bronze,5665,2994,2024-05-23
CLI00009,2024-10-15,Bronze,2225,872,2025-02-23
CLI02245,2023-04-16,Bronze,4800,979,
CLI00118,2025-07-09,Bronze,1448,824,2025-09-19
CLI04843,2023-10-31,Bronze,9228,3919,2025-07-16
CLI05295,2024-07-05,Bronze,699,505,2024-12-31
CLI05927,2023-02-05,Bronze,1810,1207,2023-04-17
CLI04691,2025-05-05,Bronze,837,182,2025-10-09
CLI02432,2024-10-05,Bronze,6890,5936,2025-10-23
CLI01864,2024-05-01,Bronze,721,405,2024-10-16
CLI00869,2024-06-10,Bronze,9047,4221,2025-10-13
CLI03372,2022-03-28,Bronze,2068,1274,
CLI00277,2025-03-04,Bronze,6596,4977,2025-04-10
CLI01550,2023-02-20,Bronze,11983,6407,
CLI00966,2025-02-28,Bronze,1916,908,2025-04-09
CLI01676,2024-08-31,Bronze,18,15,2024-10-02
CLI00180,2025-09-02,Bronze,8728,3330,2025-09-21
CLI02733,2023-05-23,Bronze,9881,7404,2025-12-09
CLI03448,2024-02-25,Bronze,5134,1516,2025-10-19
CLI04263,2025-12-02,Bronze,2630,1102,2025-12-16
CLI00084,2024-09-20,Bronze,1536,573,2025-08-30
CLI04319,2024-08-04,Bronze,2745,1817,2025-01-16
CLI03490,2023-01-07,Bronze,1455,770,2023-07-22
CLI04590,2025-02-16,Bronze,1432,28,2025-04-21
CLI04869,2025-07-19,Bronze,6018,2152,2025-11-04
CLI02535,2025-04-02,Silver,14414,9054,2025-06-21
CLI02784,2022-04-14,Bronze,1003,613,
CLI03635,2024-10-06,Bronze,3740,164,2024-10-14
CLI02600,2024-02-28,Bronze,1754,1558,2025-04-13
CLI04159,2025-10-25,Bronze,5874,4272,2025-12-01
CLI03753,2022-08-27,Bronze,985,132,
CLI05669,2024-11-28,Bronze,11435,9185,2025-11-01
CLI03849,2022-10-02,Bronze,7670,5237,2024-03-25
CLI03120,2022-12-28,Bronze,1945,893,
CLI01705,2022-04-21,Silver,13992,1949,2023-10-04
CLI00677,2022-12-23,Bronze,7450,1372,
CLI03550,2024-10-13,Bronze,3464,1331,2025-08-26
CLI04939,2023-11-07,Bronze,2797,1970,2024-05-01
CLI00474,2024-05-08,Bronze,1953,273,2025-11-22
CLI03895,2022-08-30,Bronze,2553,990,2024-05-11
CLI03951,2025-04-01,Bronze,2784,1898,2025-05-22
CLI02497,2023-12-02,Bronze,6720,2011,2024-05-02
CLI05135,2024-05-10,Bronze,3769,2667,2025-01-15
CLI01791,2022-12-12,Bronze,1664,555,2024-03-17
CLI03257,2025-06-23,Bronze,230,15,2025-09-04
CLI02703,2023-04-07,Bronze,787,106,2025-11-04
CLI03699,2022-09-14,Bronze,4045,908,2025-05-21
CLI05890,2023-02-23,Bronze,4043,1999,2023-05-28
CLI04241,2024-06-20,Bronze,987,51,2025-06-06
CLI03612,2025-10-09,Bronze,5209,3542,2025-11-15
CLI06029,2023-02-27,Bronze,7942,5544,2024-11-08
CLI04473,2024-06-22,Bronze,1547,1073,2025-07-31
CLI03063,2023-06-10,Bronze,1309,960,2024-09-03
CLI02335,2023-12-18,Bronze,10072,7829,2025-10-23
CLI01902,2024-03-01,Bronze,2114,1638,2024-11-23
CLI03289,2023-02-21,Bronze,4651,3659,
CLI02412,2023-09-24,Bronze,2283,429,2025-08-19
CLI04356,2025-04-23,Bronze,4770,64,2025-06-04
CLI00992,2024-09-22,Bronze,2477,1647,2025-05-21
CLI00511,2022-07-12,Bronze,172,145,2023-04-06
CLI04031,2024-05-31,Bronze,6071,1763,2025-10-21
CLI04824,2024-04-21,Bronze,4841,69,2025-01-10
CLI03514,2024-04-15,Bronze,2225,1727,2025-02-24
CLI03979,2023-06-02,Bronze,1698,61,2024-08-08
CLI04817,2024-05-11,Bronze,2436,1236,2025-09-30
CLI01454,2024-09-06,Bronze,318,214,2025-07-25
CLI05124,2025-11-03,Bronze,1288,1001,2025-11-20
CLI04647,2022-03-18,Bronze,1711,1076,2023-12-29
CLI00831,2022-10-03,Bronze,4156,785,
CLI02044,2024-06-29,Bronze,5658,442,2024-08-09
CLI03773,2024-09-21,Bronze,10237,9072,2025-08-14
CLI02811,2023-03-05,Bronze,3274,754,2024-02-16
CLI04989,2023-07-01,Bronze,1202,651,2025-03-07
CLI02429,2023-08-29,Bronze,2798,1498,2024-01-10
CLI02800,2024-02-02,Bronze,3681,3008,2024-05-21
CLI03866,2024-11-11,Bronze,1774,1538,2024-11-12
CLI05412,2023-12-25,Bronze,450,80,2024-04-25
CLI04151,2022-04-02,Bronze,1051,38,2022-05-10
CLI04981,2024-12-08,Bronze,3703,584,2025-12-11
CLI00890,2025-01-02,Bronze,579,349,2025-04-16
CLI02786,2022-12-25,Bronze,19,9,
CLI04349,2025-08-15,Bronze,2550,1362,2025-10-01
CLI04845,2025-11-12,Bronze,7027,5356,2025-11-21
CLI02236,2024-10-12,Bronze,3622,882,2025-01-21
CLI00701,2023-07-30,Bronze,2130,120,2025-10-13
CLI00408,2025-01-17,Bronze,6495,5380,2025-09-01
CLI05824,2024-09-09,Bronze,3822,1886,2025-02-04
CLI01451,2025-08-23,Bronze,4613,851,2025-12-06
CLI03848,2025-02-06,Bronze,2920,2006,2025-09-22
CLI05375,2024-11-06,Bronze,6463,3184,2024-11-07
CLI03009,2023-01-30,Bronze,9824,377,2025-11-07
CLI02559,2025-08-31,Silver,21699,11301,2025-12-23
CLI04219,2022-09-13,Bronze,1842,875,2025-03-19
CLI05249,2025-05-22,Bronze,4261,2709,2025-06-22
CLI00616,2024-03-09,Bronze,1962,1468,2024-07-08
CLI01642,2025-09-19,Bronze,6360,3335,2025-10-31
CLI00906,2025-11-14,Silver,12898,5675,2025-11-30
CLI01307,2025-02-13,Bronze,1224,920,2025-06-24
CLI05254,2024-01-19,Bronze,758,522,2025-11-02
CLI00399,2025-12-25,Bronze,6230,2456,2025-12-30
CLI02119,2025-10-16,Bronze,8761,7241,2025-11-23
CLI01435,2023-09-05,Silver,17409,11229,2025-08-10
CLI03010,2024-02-21,Bronze,348,254,2025-03-12
CLI05333,2023-10-14,Bronze,743,631,2024-09-02
CLI03733,2022-05-02,Silver,14449,8224,
CLI05908,2024-03-23,Bronze,5297,1539,2025-09-28
CLI00055,2024-04-05,Bronze,3556,794,2025-07-20
CLI04823,2025-01-07,Bronze,878,83,2025-08-13
CLI04681,2023-10-26,Bronze,11807,10019,2025-02-19
CLI03791,2024-07-10,Bronze,8482,2942,2025-03-07
CLI03847,2025-10-12,Bronze,3610,765,2025-12-28
CLI01525,2025-06-11,Bronze,9402,8025,2025-11-08
CLI00162,2022-01-22,Bronze,3814,731,2025-12-10
CLI03582,2024-09-23,Bronze,3458,1944,2025-11-26
CLI03214,2024-03-22,Bronze,6973,2891,2025-03-29
CLI05311,2024-03-13,Bronze,3447,1731,2024-07-02
CLI04365,2025-10-25,Bronze,4291,3028,2025-12-15
CLI04009,2023-11-08,Bronze,30,2,2025-10-20
CLI05597,2024-02-01,Bronze,721,490,2024-05-06
CLI02817,2023-03-11,Bronze,3865,1586,
CLI01176,2022-09-16,Bronze,1387,907,
CLI02463,2022-11-08,Bronze,5000,1357,
CLI03611,2023-10-15,Bronze,4337,2026,2024-06-11
CLI00308,2024-11-24,Bronze,3162,226,2025-02-24
CLI05478,2022-06-02,Bronze,201,29,2024-04-01
CLI04267,2024-03-15,Bronze,1417,1568,2025-01-14
CLI01758,2025-04-12,Bronze,1108,527,2025-08-03
CLI05783,2024-03-14,Bronze,1802,772,2025-04-13
CLI04507,2022-05-15,Bronze,9546,5866,
CLI03601,2024-10-26,Bronze,1273,612,2025-10-12
CLI04005,2025-02-13,Bronze,1657,1002,2025-12-21
CLI03440,2023-04-26,Bronze,7742,2066,2024-08-14
CLI03735,2024-01-02,Bronze,9019,11854,2025-07-19
CLI03643,2023-09-29,Bronze,41,26,2023-12-05
CLI04362,2024-02-27,Bronze,7327,6498,2025-09-16
CLI03542,2025-05-07,Bronze,1156,524,2025-07-21
CLI03415,2025-04-19,Bronze,9155,4375,2025-07-20
CLI01666,2022-03-11,Bronze,3027,720,
CLI04364,2024-12-02,Bronze,1690,186,2025-11-29
CLI02797,2023-11-09,Bronze,84,16,2024-11-15
CLI03469,2022-11-07,Bronze,160,72,2025-05-15
CLI00986,2023-11-06,Bronze,963,514,2024-06-13
CLI03477,2022-03-17,Bronze,5656,1627,2022-08-09
CLI01538,2023-07-28,Bronze,2195,290,2024-07-28
CLI00029,2023-11-22,Bronze,3026,1579,2024-09-25
CLI01715,2023-08-11,Silver,19351,4926,2025-10-06
CLI02070,2022-04-24,Bronze,2734,1263,
CLI02895,2024-03-17,Bronze,1285,312,2024-09-08
CLI02960,2022-10-02,Bronze,8389,4525,
CLI02971,2023-01-25,Bronze,2960,2386,2023-03-27
CLI05947,2024-10-18,Bronze,590,269,2025-01-08
CLI04638,2022-03-10,Bronze,3943,574,
CLI00522,2024-02-17,Bronze,4604,3726,2025-09-23
CLI04643,2023-01-20,Bronze,1586,25,2024-05-22
CLI01788,2023-09-18,Bronze,569,257,2023-10-03
CLI03829,2024-05-08,Silver,12467,8255,2025-10-03
CLI04925,2024-02-19,Bronze,4476,1338,2024-04-07
CLI01011,2024-02-02,Bronze,2434,1022,2024-10-29
CLI03272,2024-05-23,Bronze,526,237,2024-12-08
CLI01773,2025-07-22,Bronze,6139,1402,2025-08-26
CLI01700,2022-08-29,Bronze,5665,2927,
CLI04265,2025-08-19,Bronze,2156,890,2025-10-18
CLI02344,2023-02-23,Silver,12276,2428,2024-03-14
CLI05437,2025-07-09,Bronze,1404,184,2025-11-08
CLI02135,2023-08-30,Bronze,3266,1308,2025-07-04
CLI00346,2023-12-10,Bronze,1767,201,2025-04-15
CLI05581,2025-10-01,Bronze,295,197,2025-12-21
CLI01123,2024-12-07,Bronze,11610,6951,2025-05-05
CLI05719,2025-08-25,Bronze,2352,1219,2025-10-18
CLI04903,2022-08-10,Bronze,2765,318,
CLI02608,2022-08-07,Bronze,1494,1016,2022-09-26
CLI03653,2024-11-29,Bronze,266,61,2025-05-25
CLI03301,2023-09-05,Bronze,3457,1195,2023-11-27
CLI05614,2024-06-12,Bronze,2982,105,2025-01-05
CLI05811,2025-12-27,Bronze,1766,661,2025-12-31
CLI05462,2025-02-08,Bronze,1416,573,2025-07-19
CLI04562,2023-04-27,Bronze,7085,6289,2024-11-25
CLI04414,2023-11-22,Silver,15291,4813,2025-02-22
CLI04527,2022-05-15,Bronze,8707,6244,
CLI01838,2022-03-21,Bronze,7540,3623,2023-12-19
CLI00434,2025-10-09,Bronze,972,314,2025-11-21
CLI02269,2025-12-15,Bronze,9207,3896,2025-12-31
CLI03549,2023-05-02,Bronze,2294,943,
CLI01789,2023-01-23,Bronze,5384,4386,
CLI03863,2024-08-25,Bronze,2486,1560,2025-11-18
CLI01465,2022-01-27,Bronze,2046,1337,2023-08-19
CLI01277,2023-08-18,Silver,13222,5244,2023-11-06
CLI03728,2025-06-03,Bronze,1088,261,2025-11-11
CLI03672,2025-10-07,Bronze,1025,5,2025-12-17
CLI01395,2025-09-16,Bronze,444,280,2025-10-03
CLI05198,2023-06-07,Bronze,7015,3224,2025-06-14
CLI04108,2025-10-27,Bronze,458,399,2025-11-06
CLI04836,2025-08-16,Bronze,3066,402,2025-10-25
CLI01565,2022-02-11,Bronze,4979,3143,2023-11-11
CLI04703,2023-02-13,Bronze,799,552,
CLI03674,2022-06-07,Bronze,1098,283,2025-04-05
CLI05457,2023-11-10,Bronze,6148,1561,2025-09-27
CLI04270,2022-02-17,Bronze,1188,408,2022-11-10
CLI04457,2024-02-28,Bronze,65,37,2024-08-02
CLI03472,2024-11-01,Bronze,850,735,2025-02-08
CLI04561,2024-07-06,Bronze,4808,1770,2024-07-16
CLI01885,2022-06-30,Bronze,2062,539,
CLI01756,2024-02-17,Bronze,1585,1222,2025-09-07
CLI00453,2022-08-31,Bronze,1058,148,
CLI02719,2023-11-01,Bronze,1316,674,2024-06-20
CLI01708,2022-02-28,Bronze,3207,357,2024-06-08
CLI01180,2024-12-01,Bronze,2988,574,2025-12-29
CLI03854,2024-12-24,Silver,26059,15414,2025-01-03
CLI04758,2025-06-23,Bronze,4430,2510,2025-06-24
CLI05641,2022-05-03,Bronze,5907,2137,
CLI00774,2022-08-25,Bronze,3264,1248,
CLI05698,2023-04-11,Bronze,2296,534,2025-04-11
CLI04477,2024-04-06,Bronze,1546,746,2025-12-01
CLI04006,2025-03-16,Bronze,1509,1077,2025-12-17
CLI01116,2024-10-03,Bronze,6127,4034,2025-09-22
CLI00130,2022-06-04,Bronze,151,35,2023-04-16
CLI03598,2023-01-19,Bronze,4464,2678,2025-07-08
CLI02610,2023-05-17,Bronze,2664,360,
CLI02939,2022-11-08,Bronze,3331,1021,
CLI05935,2024-05-13,Bronze,108,67,2024-12-13
CLI00188,2022-12-08,Bronze,4658,2454,2024-11-18
CLI02308,2025-01-31,Bronze,3818,2446,2025-05-31
CLI04674,2024-02-20,Silver,14835,7867,2024-03-26
CLI02142,2024-02-16,Bronze,10346,2317,2024-12-20
CLI04932,2023-09-02,Bronze,7584,4099,2025-01-08
CLI05722,2022-04-07,Bronze,366,181,2025-10-10
CLI00420,2022-02-09,Bronze,5154,4401,
CLI00583,2025-09-04,Bronze,266,92,2025-09-05
CLI05475,2024-02-10,Bronze,4877,1231,2024-08-18
CLI01577,2023-08-02,Silver,14660,12880,2023-11-24
CLI03984,2022-04-23,Bronze,747,499,
CLI02115,2023-06-14,Bronze,2593,672,2025-12-30
CLI00935,2023-12-26,Bronze,6145,573,2025-06-17
CLI05715,2025-05-23,Silver,19664,16278,2025-06-04
CLI04195,2022-05-16,Bronze,130,55,2022-11-15
CLI01581,2023-06-23,Bronze,6803,1359,2024-06-02
CLI00672,2022-07-31,Bronze,994,803,
CLI03625,2022-04-30,Silver,24056,20984,2025-10-26
CLI02623,2024-08-28,Bronze,828,580,2025-08-23
CLI01499,2023-09-25,Bronze,1524,2074,2024-02-17
