id_transaccion,fecha,id_tienda,canal,id_cliente,categoria,monto_neto,unidades,medio_pago
TX0005615,2022-08-31,T20,Tienda,CLI04262,Baño,9420.78,2,Efectivo
TX0015635,2023-07-22,,Online,CLI05390,Decoracion,28650.27,4,Efectivo
TX0004965,2025-03-04,T15,Tienda,,Baño,7037.13,2,Efectivo
TX0038319,2025-06-23,,Online,CLI04914,Cocina y mesa,14520.71,1,Efectivo
TX0015976,2024-10-20,T04,Tienda,,Textil hogar,15435.13,2,Tarjeta credito
TX0011076,2023-07-01,,Online,,Iluminacion,29872.91,4,Billetera virtual
TX0045456,2023-05-12,T14,Tienda,CLI02667,Baño,6862.56,3,Efectivo
TX0038475,2025-05-27,,Online,,Baño,9010.56,1,Tarjeta debito
TX0002754,2024-11-18,T25,Tienda,CLI00385,Textil hogar,37698.15,3,Tarjeta credito
TX0032325,2022-12-15,T21,Tienda,,Decoracion,41653.66,2,Tarjeta debito
TX0011389,2022-10-29,T20,Tienda,CLI04981,Decoracion,20752.88,1,Billetera virtual
TX0028918,2024-01-07,,Online,,Muebles,64521.04,1,Tarjeta debito
TX0007704,2024-07-16,,Online,,Cocina y mesa,12429.39,2,Billetera virtual
TX0042413,2024-05-02,T16,Tienda,CLI03974,Decoracion,17328.32,2,Efectivo
TX0038046,2023-10-04,T18,Tienda,CLI01080,Organizacion,11678.53,1,Billetera virtual
TX0044815,2024-06-10,T16,Tienda,,Organizacion,5915.29,2,Efectivo
TX0002467,2025-06-10,T18,tienda,,Decoracion,24626.21,1,Tarjeta debito
TX0024149,2025-03-13,T04,Tienda,,Textil hogar,22155.38,2,Billetera virtual
TX0001974,2025-09-27,,Online,CLI02788,Decoracion,9092.32,1,Efectivo
TX0036502,2025-03-10,T12,Tienda,CLI05160,Decoracion,18179.72,3,Efectivo
TX0043185,2025-11-09,T15,Tienda,,Cocina y mesa,17619.07,4,Efectivo
TX0000653,2023-12-14,,Online,,Iluminacion,40397.74,1,Tarjeta credito
TX0010814,2023-08-05,,Online,,Iluminacion,23682.07,2,Tarjeta debito
TX0025898,2024-08-08,T12,Tienda,CLI00806,Cocina y mesa,15163.88,3,Tarjeta debito
TX0021183,2024-10-06,T03,Tienda,,Textil hogar,15275.69,1,Tarjeta credito
TX0013581,2025-04-06,T21,tienda,,Cocina y mesa,3120.45,3,Tarjeta debito
TX0018196,2023-10-28,T01,tienda,CLI03872,Textil hogar,14385.68,4,Tarjeta credito
TX0048948,2025-03-24,T12,Tienda,CLI03877,Cocina y mesa,15636.74,1,Billetera virtual
TX0017224,2025-02-27,,Online,,Decoracion,17813.99,1,Efectivo
TX0035541,2022-04-24,,Online,,Muebles,59899.94,1,Efectivo
TX0023623,2024-05-15,,E-commerce,CLI00965,Decoracion,13934.36,1,Tarjeta debito
TX0001344,2022-11-22,T04,Tienda,,Textil hogar,10112.55,2,Billetera virtual
TX0039193,2024-11-15,,Online,,Decoracion,11952.52,3,Efectivo
TX0013532,2024-03-29,,Online,,Organizacion,17557.85,1,Tarjeta credito
TX0031979,2024-12-26,,Online,,Iluminacion,44668.43,1,Tarjeta debito
TX0020549,2024-12-12,,Online,,Cocina y mesa,15751.31,1,Tarjeta debito
TX0024348,2025-08-19,T11,Tienda,CLI00947,Muebles,33626.26,3,Billetera virtual
TX0037495,2023-01-30,,Online,CLI01878,Decoracion,27260.96,1,Efectivo
TX0004102,2024-05-04,,Online,,Iluminacion,13017.74,1,Efectivo
TX0016151,2025-01-06,,Online,CLI00607,Iluminacion,21102.23,2,Tarjeta credito
TX0008346,2025-03-23,T11,Tienda,CLI00053,Cocina y mesa,8556.57,5,Tarjeta credito
TX0000029,2025-07-24,,Online,,Cocina y mesa,18265.83,3,Efectivo
TX0024214,2024-01-18,T26,Tienda,,Cocina y mesa,10695.33,1,Efectivo
TX0030124,2024-12-03,T22,Tienda,CLI02176,Decoracion,15364.27,3,Billetera virtual
TX0041376,2025-01-02,T17,Tienda,CLI00263,Muebles,57360.93,4,Tarjeta credito
TX0023204,2025-04-09,,Online,,Organizacion,2481.23,2,Tarjeta credito
TX0017180,2023-09-13,T03,Tienda,CLI00505,Muebles,79689.62,1,Efectivo
TX0008861,2025-06-04,T27,Tienda,,Decoracion,28015.28,1,Billetera virtual
TX0020821,2025-08-10,T10,Tienda,CLI05974,Baño,12712.41,1,Efectivo
TX0021824,2023-09-20,T07,Tienda,,Textil hogar,9101.78,1,Tarjeta debito
TX0006515,2023-05-08,T12,Tienda,CLI01817,Cocina y mesa,11396.47,2,Tarjeta credito
TX0009371,2025-04-04,T08,Tienda,,Cocina y mesa,17274.68,2,Tarjeta credito
TX0012034,2024-07-30,,Online,,Decoracion,21116.45,2,Billetera virtual
TX0001743,2022-06-02,,Online,CLI02987,Textil hogar,14686.71,1,Efectivo
TX0026201,2024-01-03,T10,Tienda,,Cocina y mesa,7516.93,1,Tarjeta debito
TX0042858,2024-06-29,T23,Tienda,,Baño,9321.83,1,Tarjeta debito
TX0027115,2025-05-02,,Online,CLI00880,Textil hogar,17603.75,2,Tarjeta debito
TX0027431,2024-12-04,T01,Tienda,CLI05044,Muebles,39128.89,2,Billetera virtual
TX0045050,2023-11-05,,E-commerce,CLI05346,Muebles,88449.15,2,Efectivo
TX0011011,2025-09-29,T12,Tienda,,Textil hogar,10520.83,2,Tarjeta debito
TX0049802,2023-07-26,,Online,CLI02288,Organizacion,9999.86,2,Billetera virtual
TX0044154,2023-07-30,,Online,,Decoracion,24559.32,4,Billetera virtual
TX0016925,2023-07-18,,Online,,Baño,12523.52,1,Efectivo
TX0023318,2022-08-11,,Online,CLI01743,Decoracion,18757.25,3,Billetera virtual
TX0002726,2022-12-16,T07,Tienda,,Decoracion,34939.78,1,Efectivo
TX0034454,2025-04-03,T11,Tienda,,Cocina y mesa,8631.2,1,Billetera virtual
TX0030906,2022-05-18,T04,Tienda,CLI00164,Organizacion,3950.95,2,Billetera virtual
TX0014536,2024-10-30,T17,Tienda,CLI03129,Decoracion,23197.49,1,Billetera virtual
TX0027875,2024-02-19,,Online,,Textil hogar,11984.48,2,Efectivo
TX0006523,2023-02-15,T18,Tienda,,Organizacion,7918.78,4,Efectivo
TX0004203,2024-02-29,T21,Tienda,,Cocina y mesa,12596.24,2,Tarjeta credito
TX0005727,2024-12-21,T19,Tienda,CLI03181,Cocina y mesa,12935.09,1,Tarjeta credito
TX0022977,2023-11-08,T06,Tienda,,Iluminacion,27139.5,2,Billetera virtual
TX0045879,2024-04-30,T14,Tienda,CLI05330,Baño,13846.4,1,Efectivo
TX0031663,2025-12-08,,Online,CLI04204,Decoracion,26454.41,3,Billetera virtual
TX0012032,2024-04-21,,Online,CLI00319,Decoracion,22258.83,3,Tarjeta debito
TX0033932,2022-08-26,T17,Tienda,CLI05949,Iluminacion,21635.03,1,Tarjeta credito
TX0021705,2024-12-15,,Online,,Iluminacion,27508.97,2,Tarjeta credito
TX0023286,2024-06-04,T20,Tienda,CLI05885,Decoracion,30757.26,2,Billetera virtual
TX0022477,2024-04-29,T02,Tienda,CLI00041,Textil hogar,17194.44,2,Efectivo
TX0025164,2025-04-03,T09,Tienda,CLI04640,Textil hogar,-17842.81,3,Efectivo
TX0018115,2025-05-29,T26,Tienda,CLI02151,Muebles,49667.56,1,Billetera virtual
TX0004457,2024-01-30,,Online,CLI02875,Muebles,77545.58,1,Efectivo
TX0027873,2024-11-27,T06,Tienda,CLI01873,Decoracion,22098.68,4,Tarjeta debito
TX0004454,2024-04-01,T13,Tienda,CLI00309,Decoracion,11585.83,3,Tarjeta credito
TX0021276,2023-12-18,,Online,,Decoracion,15755.97,2,Efectivo
TX0009591,2022-11-05,,Online,CLI03914,Cocina y mesa,8703.59,1,Tarjeta credito
TX0001643,2025-10-10,,Online,CLI01961,Cocina y mesa,17696.48,3,Billetera virtual
TX0042416,2022-10-03,T23,Tienda,,Organizacion,6150.3,2,Tarjeta debito
TX0027754,2022-08-27,T26,Tienda,CLI05007,Textil hogar,18060.03,1,Tarjeta credito
TX0014817,2024-08-27,T10,Tienda,,Decoracion,14704.72,2,Efectivo
TX0010567,2024-10-23,T18,Tienda,,Muebles,47832.38,1,Efectivo
TX0010651,2024-06-12,T28,Tienda,CLI03298,Decoracion,26647.49,5,Tarjeta debito
TX0034575,2023-11-02,T28,Tienda,CLI05406,Iluminacion,10605.21,1,Tarjeta debito
TX0025894,2025-01-24,T16,Tienda,,Iluminacion,20114.09,2,Tarjeta credito
TX0013275,2024-11-21,T17,Tienda,CLI00445,Cocina y mesa,15402.35,1,Tarjeta credito
TX0049334,2025-03-11,,Online,,Decoracion,12373.49,2,Tarjeta debito
TX0001342,2024-06-02,T25,Tienda,CLI03869,Textil hogar,21480.68,2,Tarjeta credito
TX0006662,2022-12-22,,Online,,Decoracion,23868.84,1,Billetera virtual
TX0027830,2024-03-15,T14,Tienda,CLI00903,Organizacion,8953.28,6,Billetera virtual
TX0028384,2023-03-30,T10,Tienda,,Organizacion,10020.52,4,Efectivo
TX0029065,2024-12-26,T14,Tienda,CLI05314,Decoracion,31223.37,1,Efectivo
TX0033331,2024-12-19,T12,Tienda,,Organizacion,6887.99,2,Tarjeta credito
TX0014404,2024-02-02,,Online,CLI04525,Organizacion,11865.52,1,Tarjeta credito
TX0042751,2025-03-31,T17,Tienda,,Cocina y mesa,9657.71,1,Billetera virtual
TX0025316,2023-05-02,T05,Tienda,,Decoracion,5585.83,3,Tarjeta credito
TX0016529,2024-09-01,T10,Tienda,CLI03607,Muebles,35474.2,2,Billetera virtual
TX0004478,2025-09-17,,Online,CLI04452,Organizacion,3565.68,3,Billetera virtual
TX0038838,2025-05-28,,Online,CLI05361,Decoracion,8581.09,2,Tarjeta credito
TX0001424,2023-01-13,T09,Tienda,,Baño,9524.36,1,Billetera virtual
TX0025396,2023-09-29,,Online,,Iluminacion,27145.98,1,Tarjeta credito
TX0032164,2024-10-17,T15,Tienda,CLI04932,Iluminacion,19501.09,6,Efectivo
TX0007909,2023-12-30,T27,Tienda,CLI04043,Textil hogar,23996.45,1,Tarjeta credito
TX0018996,2022-12-18,,Online,CLI05262,Baño,12487.83,1,Tarjeta credito
TX0006993,2023-03-21,,Online,,Textil hogar,16098.21,1,Tarjeta debito
TX0015451,2022-12-04,T27,Tienda,CLI05818,Textil hogar,31788.65,1,Tarjeta debito
TX0008513,2024-03-05,T23,Tienda,CLI05790,Decoracion,25185.48,5,Tarjeta credito
TX0006573,2024-04-06,T17,Tienda,,Textil hogar,12813.9,1,Efectivo
TX0007690,2025-08-10,T22,Tienda,,Organizacion,5794.48,3,Tarjeta credito
TX0001160,2023-02-14,T10,Tienda,,Muebles,-17573.53,3,Efectivo
TX0001981,2023-04-06,,Online,CLI00541,Organizacion,5023.59,2,Efectivo
TX0028745,2024-03-21,,Online,CLI01431,Muebles,42394.76,1,Tarjeta debito
TX0006890,2024-01-11,T08,Tienda,,Baño,7827.25,1,Billetera virtual
TX0028439,2022-04-05,T02,Tienda,CLI02564,Decoracion,25968.21,4,Efectivo
TX0001870,2022-06-10,T21,Tienda,,Cocina y mesa,21921.82,4,Billetera virtual
TX0023387,2022-12-15,T12,Tienda,CLI01944,Textil hogar,14776.51,1,Tarjeta credito
TX0003923,2024-01-30,,Online,,Organizacion,4579.11,3,Tarjeta debito
TX0028179,2023-03-01,,Online,,Decoracion,20244.86,4,Tarjeta debito
TX0019097,2023-05-05,T12,Tienda,,Cocina y mesa,11457.06,1,Tarjeta credito
TX0037622,2025-02-27,T04,tienda,,Textil hogar,17667.42,1,Billetera virtual
TX0039860,2024-06-22,,Online,,Cocina y mesa,17759.16,2,Tarjeta debito
TX0025290,2025-06-06,T13,Tienda,CLI00518,Cocina y mesa,18057.11,1,Tarjeta credito
TX0027469,2024-08-26,,Online,,Textil hogar,12225.28,2,Tarjeta debito
TX0036581,2024-05-13,T14,Tienda,,Organizacion,11711.18,3,Tarjeta credito
TX0021657,2024-09-28,,E-commerce,,Cocina y mesa,10246.4,3,Tarjeta credito
TX0032376,2024-02-23,,Online,CLI02936,Organizacion,5752.67,1,Tarjeta debito
TX0031993,2023-01-11,,Online,,Cocina y mesa,9901.94,2,Billetera virtual
TX0009976,2024-11-26,T22,Tienda,,Textil hogar,19077.58,1,Tarjeta credito
TX0006533,2024-04-21,,Online,,Baño,5042.63,4,Billetera virtual
TX0001454,2024-05-16,,Online,CLI05468,Baño,6800.29,5,Efectivo
TX0042227,2023-11-25,T10,Tienda,CLI03845,Baño,9762.09,1,Efectivo
TX0007670,2023-08-22,T17,Tienda,,Textil hogar,11841.88,1,Tarjeta credito
TX0019785,2023-09-19,T19,Tienda,CLI04829,Iluminacion,30511.7,2,Tarjeta credito
TX0027715,2025-04-18,T28,Tienda,,Baño,8114.19,1,Billetera virtual
TX0037038,2023-03-25,T11,Tienda,CLI00620,Decoracion,22709.16,1,Tarjeta credito
TX0024615,2024-04-18,,Online,CLI01833,Organizacion,12035.35,2,Tarjeta debito
TX0015400,2025-01-16,,Online,,Cocina y mesa,9416.6,1,Efectivo
TX0001782,2025-07-15,T01,Tienda,CLI04917,Decoracion,17320.1,1,Efectivo
TX0004374,2023-04-05,T21,Tienda,CLI03525,Textil hogar,19472.1,3,Efectivo
TX0006517,2023-09-09,,Online,,Baño,9909.93,1,Tarjeta credito
TX0025644,2025-03-02,T15,Tienda,CLI04605,Organizacion,9914.0,2,Tarjeta credito
TX0008885,2022-09-19,T28,Tienda,,Cocina y mesa,20540.77,1,Tarjeta debito
TX0049147,2023-08-23,T06,Tienda,CLI03689,Baño,10646.37,3,Tarjeta debito
TX0009629,2025-10-16,T01,Tienda,CLI01366,Textil hogar,7943.79,3,Efectivo
TX0048200,2023-06-03,T19,Tienda,CLI03871,Textil hogar,18743.61,4,Tarjeta credito
TX0043051,2023-09-02,T07,tienda,CLI04295,Decoracion,16767.07,3,Tarjeta debito
TX0038198,2023-02-03,T27,Tienda,CLI04145,Decoracion,23490.11,3,Efectivo
TX0047665,2023-11-08,,Online,,Cocina y mesa,20145.43,1,Tarjeta debito
TX0042645,2025-12-24,,Online,CLI02580,Iluminacion,30927.69,4,Efectivo
TX0005193,2023-09-24,,Online,CLI03079,Cocina y mesa,11363.5,3,Tarjeta debito
TX0011186,2023-06-20,T07,Tienda,,Textil hogar,13474.79,2,Tarjeta debito
TX0034405,2024-11-26,T19,Tienda,,Organizacion,10756.98,2,Tarjeta credito
TX0047297,2025-07-28,,Online,CLI02675,Baño,7471.0,1,Billetera virtual
TX0044390,2024-04-02,T23,Tienda,,Cocina y mesa,11984.24,3,Billetera virtual
TX0025612,2023-06-08,,Online,,Organizacion,10342.96,2,Efectivo
TX0043234,2025-03-22,,Online,CLI04682,Organizacion,4929.76,4,Billetera virtual
TX0020224,2024-06-21,T22,Tienda,,Iluminacion,28263.29,2,Efectivo
TX0021037,2024-09-16,T06,Tienda,CLI01752,Decoracion,12913.86,2,Efectivo
TX0005715,2023-05-06,T07,Tienda,,Baño,7832.09,3,Tarjeta credito
TX0018568,2023-12-19,T27,Tienda,,Textil hogar,28153.54,1,Billetera virtual
TX0031856,2023-11-11,T26,Tienda,,Iluminacion,43486.87,2,Efectivo
TX0048708,2024-03-11,,Online,,Decoracion,27103.45,2,Tarjeta debito
TX0048500,2024-05-16,,Online,CLI02997,Organizacion,2436.74,4,Efectivo
TX0048885,2024-05-10,T25,Tienda,,Decoracion,4649.97,4,Tarjeta credito
TX0027604,2023-05-16,T22,Tienda,,Organizacion,5991.16,3,Billetera virtual
TX0030301,2023-06-16,T02,Tienda,,Cocina y mesa,19526.21,3,Tarjeta credito
TX0036685,2023-03-17,T18,Tienda,CLI00537,Muebles,51326.46,3,Tarjeta credito
TX0020756,2024-04-05,T16,Tienda,,Cocina y mesa,8059.05,2,Efectivo
TX0042688,2024-08-03,,Online,,Decoracion,23729.74,1,Billetera virtual
TX0020176,2022-03-22,T02,Tienda,,Decoracion,26782.33,1,Tarjeta credito
TX0025166,2022-07-29,,Online,,Textil hogar,15560.39,1,Efectivo
TX0029367,2025-09-04,,Online,CLI05802,Organizacion,8375.26,3,Billetera virtual
TX0039283,2023-05-02,,Online,,Baño,9608.37,4,Efectivo
TX0042442,2023-02-13,T10,Tienda,CLI04358,Decoracion,30917.98,3,Tarjeta debito
TX0048024,2024-07-05,T10,Tienda,CLI02916,Decoracion,16727.26,2,Tarjeta credito
TX0011019,2023-10-07,T08,Tienda,CLI02483,Decoracion,28305.08,1,Tarjeta debito
TX0010741,2022-05-25,T26,Tienda,CLI00909,Baño,3222.97,3,Tarjeta credito
TX0031192,2023-07-10,T02,Tienda,CLI02774,Muebles,85786.84,3,Billetera virtual
TX0001084,2025-02-15,T27,Tienda,,Cocina y mesa,10367.06,4,Tarjeta credito
TX0047582,2024-04-11,,Online,,Muebles,97656.51,1,Tarjeta credito
TX0024437,2025-04-16,T06,Tienda,CLI03067,Cocina y mesa,7141.14,8,Tarjeta credito
TX0036875,2022-06-22,T25,Tienda,CLI05637,Textil hogar,37121.6,1,Tarjeta credito
TX0019070,2025-01-14,T25,Tienda,CLI05777,Decoracion,28611.55,1,Tarjeta debito
TX0034010,2025-03-07,T10,Tienda,,Baño,11094.85,1,Billetera virtual
TX0040253,2024-04-25,T21,Tienda,,Iluminacion,28486.04,1,Billetera virtual
TX0046375,2024-08-15,T06,Tienda,CLI03379,Cocina y mesa,18748.95,1,Efectivo
TX0033157,2023-07-24,T25,Tienda,CLI04746,Iluminacion,31520.81,3,Efectivo
TX0031610,2024-11-02,,Online,,Iluminacion,21214.06,4,Tarjeta credito
TX0006763,2025-01-29,T11,Tienda,CLI04783,Decoracion,10595.89,1,Tarjeta debito
TX0020995,2023-09-05,T02,Tienda,,Muebles,31889.13,5,Billetera virtual
TX0041339,2024-08-05,T27,Tienda,,Cocina y mesa,14573.86,1,Tarjeta credito
TX0038795,2024-09-19,T10,Tienda,CLI05348,Muebles,64639.3,4,Tarjeta credito
TX0039241,2024-11-04,T10,Tienda,,Organizacion,8656.7,1,Billetera virtual
TX0022548,2024-04-15,,Online,CLI04516,Iluminacion,19412.28,2,Efectivo
TX0021810,2025-06-06,,Online,,Decoracion,-11432.06,1,Tarjeta debito
TX0036572,2025-12-17,T07,Tienda,,Muebles,58177.5,2,Tarjeta credito
TX0045651,2024-05-25,T16,Tienda,CLI05594,Cocina y mesa,11754.96,1,Billetera virtual
TX0044956,2022-06-03,T15,Tienda,CLI01887,Iluminacion,33228.26,2,Tarjeta credito
TX0030903,2024-07-22,T18,Tienda,CLI00057,Cocina y mesa,17438.15,2,Tarjeta debito
TX0007125,2024-11-17,T19,Tienda,,Textil hogar,13288.85,4,Tarjeta credito
TX0040494,2024-02-24,T26,Tienda,,Textil hogar,12056.43,1,Tarjeta credito
TX0021605,2023-04-03,T09,Tienda,CLI05140,Baño,11161.39,5,Efectivo
TX0011864,2024-12-31,T18,Tienda,CLI05633,Textil hogar,8959.56,1,Tarjeta credito
TX0048093,2023-06-14,,Online,,Textil hogar,18778.61,5,Tarjeta debito
TX0023400,2024-10-31,,Online,CLI04940,Organizacion,4512.57,4,Efectivo
TX0022676,2025-08-07,T26,Tienda,CLI00968,Organizacion,8692.69,4,Tarjeta debito
TX0044221,2025-06-06,,Online,CLI01973,Iluminacion,14679.63,2,Efectivo
TX0012159,2023-08-14,,Online,CLI03345,Decoracion,17631.38,4,Billetera virtual
TX0028607,2025-01-23,T28,Tienda,CLI02066,Organizacion,10833.5,3,Billetera virtual
TX0044514,2023-10-25,,Online,CLI05929,Muebles,77579.75,2,Tarjeta credito
TX0037162,2024-03-09,T23,tienda,,Organizacion,10408.14,1,Billetera virtual
TX0034012,2022-07-29,T06,Tienda,CLI03524,Decoracion,25186.57,2,Tarjeta credito
TX0018107,2023-12-23,T25,Tienda,,Organizacion,20641.89,2,Billetera virtual
TX0006339,2023-02-26,T25,Tienda,CLI02021,Iluminacion,14741.21,2,Tarjeta credito
TX0027378,2023-07-11,T05,Tienda,CLI03466,Cocina y mesa,12667.28,4,Billetera virtual
TX0036405,2023-09-02,,E-commerce,CLI03382,Iluminacion,24540.9,1,Tarjeta credito
TX0035994,2024-05-25,,Online,,Muebles,44313.47,1,Tarjeta credito
TX0022692,2024-01-11,T08,Tienda,,Iluminacion,17428.57,1,Tarjeta debito
TX0044367,2022-11-15,,Online,CLI01513,Cocina y mesa,20273.65,2,Efectivo
TX0041913,2023-12-04,,Online,,Organizacion,10903.02,1,Billetera virtual
TX0017209,2023-08-14,T12,Tienda,,Organizacion,6631.01,2,Tarjeta debito
TX0000276,2023-09-11,T22,Tienda,CLI05984,Decoracion,15703.31,1,Tarjeta debito
TX0029043,2022-08-31,T05,Tienda,,Decoracion,18795.8,3,Billetera virtual
TX0037647,2024-11-16,,Online,CLI05053,Textil hogar,21697.54,2,Tarjeta debito
TX0047722,2023-07-03,T14,Tienda,CLI05125,Decoracion,23567.07,1,Billetera virtual
TX0015150,2024-03-10,T10,Tienda,CLI05162,Decoracion,18049.98,1,Efectivo
TX0046856,2022-09-03,T13,Tienda,,Iluminacion,28217.56,1,Billetera virtual
TX0046503,2025-08-24,,E-commerce,,Textil hogar,13670.17,1,Tarjeta debito
TX0025941,2022-12-24,T11,Tienda,CLI00443,Decoracion,34542.2,2,Efectivo
TX0038543,2023-10-08,T21,Tienda,CLI04166,Organizacion,8038.96,1,Tarjeta debito
TX0049653,2022-12-26,,Online,CLI05826,Cocina y mesa,27845.98,2,Billetera virtual
TX0000059,2024-10-30,T14,Tienda,,Decoracion,14177.09,1,Efectivo
TX0025662,2023-03-24,T08,Tienda,,Decoracion,24476.88,2,Tarjeta credito
TX0019273,2024-07-18,,Online,CLI05509,Muebles,50295.57,1,Tarjeta credito
TX0003722,2023-02-20,T26,Tienda,CLI02690,Cocina y mesa,13346.49,1,Billetera virtual
TX0032138,2024-06-11,T14,Tienda,,Decoracion,27962.59,1,Tarjeta credito
TX0005446,2024-06-28,,Online,CLI00996,Organizacion,5693.19,4,Tarjeta credito
TX0045268,2023-07-21,,Online,CLI05673,Organizacion,-3472.06,1,Tarjeta debito
TX0013906,2023-10-14,,Online,,Iluminacion,30835.46,3,Billetera virtual
TX0020724,2024-01-27,,Online,,Organizacion,5179.55,5,Efectivo
TX0015960,2022-06-02,T21,Tienda,CLI00724,Decoracion,22498.19,2,Tarjeta credito
TX0037259,2025-05-27,T20,Tienda,,Muebles,70599.72,3,Tarjeta credito
TX0022691,2024-01-20,,Online,,Decoracion,28647.03,2,Tarjeta credito
TX0048388,2025-08-28,,Online,CLI05966,Cocina y mesa,17803.46,2,Tarjeta debito
TX0000790,2022-08-27,T02,Tienda,,Textil hogar,11734.26,3,Tarjeta debito
TX0045388,2024-08-30,T28,Tienda,CLI04572,Iluminacion,17913.37,1,Tarjeta credito
TX0036345,2023-12-03,,Online,,Decoracion,15159.77,2,Billetera virtual
TX0015417,2023-08-09,T20,Tienda,CLI01363,Iluminacion,20573.41,1,Efectivo
TX0018469,2025-07-02,T28,Tienda,CLI03816,Organizacion,6190.84,2,Efectivo
TX0037678,2024-10-24,T18,Tienda,CLI04633,Decoracion,16875.82,3,Efectivo
TX0022205,2024-09-19,T22,Tienda,CLI02921,Iluminacion,33211.03,2,Tarjeta debito
TX0031425,2022-09-23,T14,Tienda,,Decoracion,18563.72,1,Billetera virtual
TX0018311,2025-01-17,T25,Tienda,,Decoracion,16679.1,2,Tarjeta debito
TX0032708,2023-04-03,T04,Tienda,,Textil hogar,10028.61,1,Tarjeta debito
TX0039142,2024-11-28,,Online,CLI02298,Organizacion,9952.63,2,Tarjeta credito
TX0046495,2024-11-12,T15,Tienda,CLI04017,Organizacion,13499.18,4,Billetera virtual
TX0027545,2023-09-08,,Online,CLI01949,Iluminacion,17394.06,7,Tarjeta debito
TX0046843,2025-03-04,,Online,CLI02801,Muebles,71430.68,5,Tarjeta debito
TX0023676,2024-02-21,T05,Tienda,,Decoracion,13480.49,1,Tarjeta credito
TX0014489,2025-03-24,T16,Tienda,,Decoracion,7013.73,1,Tarjeta credito
